DATE_ACCESSED,TIME_ACCESSED,CUSTOMER_ID,SESSION_DURATION
1998-08-15,19:40:40,068849C,768
2024-12-13,11:18:00,067702C,3738
2022-11-18,05:13:19,098927C,997
2023-05-25,14:34:38,078763C,1339
2022-07-18,20:05:43,015407C,4136
2023-02-14,12:34:48,094873C,3380
1999-08-07,05:07:17,030706C,392
1997-12-27,17:33:56,055425C,4824
2019-01-22,19:06:47,029404C,2129
2003-06-30,11:38:05,050713C,350
2017-09-17,13:19:34,093154C,2844
2016-09-04,12:48:10,075658C,617
2019-01-07,14:18:33,091671C,1161
2021-04-30,11:34:06,001727C,3425
2018-10-12,22:25:47,001932C,2342
2009-09-03,16:36:40,049493C,1188
2001-01-11,08:24:25,035386C,4901
2018-04-24,22:42:19,093984C,2960
2023-02-25,18:13:30,091179C,4064
2018-03-09,15:31:41,061699C,553
2019-08-28,09:47:31,091798C,489
2019-07-29,11:01:22,093767C,3922
2001-04-18,05:54:33,096912C,604
2022-01-28,07:43:47,049100C,3296
2004-03-30,06:07:39,089314C,90
2024-03-09,14:46:57,029551C,1917
1999-02-28,23:18:12,041417C,923
2023-10-12,15:24:10,041531C,2769
2018-03-12,18:09:28,096230C,1268
2022-08-18,09:13:58,081415C,1590
2021-08-15,17:27:51,082317C,4090
2000-07-14,12:50:12,073513C,3658
2020-03-18,23:45:03,020746C,3241
1999-06-18,07:55:11,038765C,3038
2004-08-05,10:14:39,052985C,2497
2018-08-12,21:48:18,034424C,2952
2023-07-03,06:40:44,020425C,4288
2020-07-24,22:47:59,016568C,3587
2020-12-24,20:16:45,065408C,3956
2011-12-02,13:02:02,018708C,490
2003-03-20,05:18:41,080328C,118
1999-02-27,18:43:14,021848C,3308
2022-04-14,12:29:12,095383C,2841
2021-12-22,07:50:20,010460C,2705
2018-05-03,15:16:01,030670C,4336
2017-05-17,16:05:13,008572C,4356
2000-07-07,11:16:43,032227C,2528
2010-05-24,17:16:30,033460C,2877
2019-09-12,12:02:19,041292C,4581
2005-12-06,19:31:46,018750C,3649
2009-04-12,18:31:29,061441C,3665
2013-01-29,07:15:06,040158C,1319
2022-11-06,11:28:39,051588C,691
2019-06-11,22:48:56,064626C,3291
2004-01-01,10:15:31,027018C,1862
1999-01-21,13:22:20,008913C,3622
2002-06-19,14:39:34,075866C,1708
2019-05-19,19:32:38,020081C,3845
2020-11-29,13:17:14,090762C,195
2015-02-05,08:11:46,087510C,3456
2005-08-11,14:47:42,045035C,112
2018-12-31,21:27:54,002580C,467
2017-05-21,13:07:47,095187C,4685
2012-02-17,22:42:18,096323C,1875
2023-08-30,12:04:33,036412C,2579
2019-06-28,12:23:40,023201C,3994
1997-07-13,10:08:51,077758C,186
2022-01-05,15:23:37,055184C,267
2023-10-18,17:09:11,043384C,4241
2021-06-27,09:48:13,008059C,4129
2022-11-04,11:15:46,077760C,1142
2022-04-30,17:22:38,065554C,4901
2007-09-05,20:06:39,056207C,273
2023-07-10,16:31:29,056044C,2588
2009-03-26,12:35:41,027335C,1395
2021-04-22,20:51:47,051938C,3999
2023-08-06,07:16:08,017784C,3351
2020-02-19,15:50:18,020910C,3206
2019-04-22,11:02:20,035693C,2104
2016-02-26,19:42:46,024036C,1910
1997-07-03,10:19:01,043131C,2979
2021-11-23,06:46:40,007712C,1298
1999-10-09,20:40:03,023925C,261
2008-07-05,05:14:41,026140C,2736
1998-08-20,06:22:42,074494C,3522
2015-08-08,11:28:27,028001C,1223
2006-08-21,10:41:21,049085C,3407
2001-09-01,18:16:34,049226C,4412
2020-01-17,19:48:02,039482C,4686
2024-06-25,18:24:10,061338C,85
2022-02-05,21:53:46,026201C,1273
2009-01-24,12:53:53,028923C,1504
2017-11-03,05:51:57,070818C,1443
2020-06-13,22:10:45,030411C,702
2023-09-24,08:39:40,007324C,3807
2021-01-20,06:16:21,058339C,3144
2017-03-01,06:31:05,057896C,2995
2001-08-01,09:29:15,058232C,4216
2007-08-22,17:21:17,077742C,4093
2021-04-20,05:19:33,031388C,2421
2024-05-14,06:49:34,067883C,4733
2021-07-11,06:29:25,037014C,1043
2023-07-16,20:03:01,010366C,2296
2018-09-08,06:16:43,080851C,4827
2018-01-05,14:43:48,079519C,1756
2023-01-22,21:21:24,090538C,2113
2003-08-16,23:21:51,042102C,2047
2023-12-11,22:43:56,093948C,2954
2008-06-16,09:21:54,023129C,134
2019-05-13,06:36:09,063377C,2882
2005-03-24,14:20:31,001649C,3366
2019-11-25,10:00:50,099616C,1213
2023-06-04,19:08:21,043279C,136
2021-10-24,20:42:52,052668C,2170
2021-03-22,11:04:35,057673C,3532
2016-05-30,10:33:10,001631C,578
2021-07-11,10:37:07,095800C,4188
2018-04-09,22:38:24,037405C,3620
2010-10-08,14:00:27,018055C,2357
2023-12-21,22:33:35,061013C,2664
2022-10-30,11:45:50,087403C,3596
2021-07-23,05:48:32,054553C,1332
2024-07-27,23:24:23,017657C,3862
2023-08-20,22:26:40,011993C,1930
2024-01-12,16:33:10,003126C,1653
2018-05-26,20:01:46,015517C,2101
2019-05-30,12:17:11,040082C,3500
2012-03-26,19:15:47,029854C,3743
2018-07-18,08:12:10,023236C,3668
2020-03-16,18:40:25,079399C,2287
2002-06-12,16:39:20,099708C,802
2012-04-08,20:00:48,043312C,2112
2015-01-12,17:24:27,090303C,3248
2022-02-22,06:37:29,088030C,2964
2022-10-11,09:36:45,058530C,2340
2017-08-18,05:25:30,083993C,4333
1997-01-30,07:36:55,014942C,2906
1998-05-28,07:12:45,046101C,967
2022-03-17,20:02:20,045503C,267
2008-03-03,09:48:40,061049C,2313
2020-08-27,09:38:09,098901C,3371
2021-12-21,21:03:10,085784C,1087
2018-06-04,20:45:41,062007C,442
2024-11-18,21:02:52,049198C,4606
2024-12-31,17:11:22,078485C,4859
2024-11-29,07:35:11,053663C,2235
2011-03-17,13:20:44,025715C,2139
2019-08-08,21:29:58,055622C,1331
2022-09-01,19:35:09,044192C,376
2023-05-21,10:41:32,017538C,336
2018-09-17,15:52:04,034364C,1640
2024-03-04,19:39:15,093000C,3817
2019-02-10,15:41:08,023664C,3963
2018-02-15,06:34:05,040430C,4300
2010-10-02,07:06:27,067419C,2946
2023-10-10,15:53:24,024251C,4257
2011-04-15,08:08:20,000406C,246
2007-11-03,09:01:21,094016C,1643
1997-03-13,06:44:19,001020C,3250
2019-10-26,10:22:58,080106C,694
2018-02-14,19:22:38,091875C,2155
2024-02-07,23:54:51,096204C,3776
2024-06-02,05:29:51,071428C,2223
1997-02-28,17:04:22,010275C,848
2015-01-22,16:01:11,096592C,3367
2023-03-17,05:20:29,030450C,4598
2018-10-31,20:30:05,040995C,483
2019-08-15,17:50:50,031691C,2208
2001-02-15,21:06:53,098557C,716
2017-10-12,08:30:02,061094C,1323
2023-07-11,14:02:00,000030C,3145
2003-11-02,22:44:09,079675C,1375
2007-05-16,10:40:43,023867C,2047
2020-05-19,15:01:30,093856C,3321
2003-04-13,12:40:18,071576C,2751
2000-06-28,12:22:14,043231C,1400
2022-01-17,19:23:56,053232C,4691
2010-07-30,23:49:00,079946C,1388
2023-05-05,05:43:24,019278C,1468
2018-09-10,05:01:52,030606C,2708
2018-03-09,06:03:49,047730C,976
2020-05-03,09:49:09,067968C,3171
2021-11-08,18:27:36,090428C,2787
2024-10-20,09:23:32,091373C,1834
2024-09-27,07:08:26,049232C,4697
2018-12-26,08:27:57,078177C,3632
2005-10-22,17:14:58,079259C,3294
2001-08-15,20:25:58,014657C,4822
2014-10-21,13:17:56,002895C,4373
2008-11-21,05:38:39,003527C,3947
2018-12-24,13:02:39,003025C,2694
2019-04-25,17:40:06,093213C,4438
2020-05-14,06:09:45,020286C,3274
1997-09-17,18:46:55,003157C,3280
2018-05-12,08:45:29,001358C,3844
1998-06-19,15:30:26,067201C,1362
2019-10-02,14:48:32,067847C,981
2023-10-17,16:09:40,037322C,2989
2020-03-17,21:48:03,072887C,1663
2022-10-01,13:11:46,095093C,4841
2007-10-16,17:40:02,097522C,2444
2021-02-13,06:43:26,056960C,2264
2016-05-22,11:22:08,019293C,1142
1998-07-06,16:10:01,035250C,3587
2024-05-16,19:04:41,045568C,697
2023-12-19,22:46:35,084440C,1192
2017-10-02,11:10:14,047011C,303
2023-07-30,20:22:57,080606C,2419
2022-03-17,15:43:07,057334C,3409
2024-01-23,13:10:21,065085C,4168
2023-06-25,22:44:09,060848C,3141
2021-11-26,22:19:15,019032C,3161
2011-11-24,20:32:19,036629C,3419
2021-03-03,08:43:09,070794C,1269
2015-05-21,21:06:44,017901C,1738
2019-07-08,21:07:17,014490C,1441
2004-02-25,06:00:07,016761C,3026
2021-03-12,20:20:06,078113C,3767
2017-01-21,13:42:31,092095C,1933
2020-06-23,22:35:52,036656C,698
2018-01-28,21:10:01,082283C,1426
2019-03-07,21:26:38,023667C,1764
2019-04-15,17:16:01,086614C,4872
2006-04-25,17:10:56,075110C,3672
2020-11-01,17:51:05,088388C,4878
2020-11-14,12:32:55,093037C,3791
2009-07-29,08:17:53,089982C,4217
2024-02-11,17:30:16,071255C,1542
2000-04-08,16:10:19,076196C,1236
2020-11-16,07:30:25,030071C,4697
2024-08-18,22:05:16,004686C,4010
1998-04-18,08:18:09,079970C,3004
2018-05-09,09:42:55,037709C,524
2020-04-17,09:37:35,054522C,1686
2002-08-28,17:35:44,055112C,4989
2019-04-10,08:30:35,044745C,2904
2022-12-18,15:55:06,072305C,102
2006-12-07,20:53:19,076801C,2308
2009-05-12,20:22:32,028300C,2852
2010-07-07,14:36:27,029673C,1913
2022-09-01,17:55:48,081238C,1251
2001-06-29,11:47:49,080682C,4001
2020-06-30,16:18:24,027733C,1119
2018-12-23,08:25:22,067786C,4158
2022-01-25,12:41:45,015735C,3123
2024-03-19,16:27:17,054593C,3002
2020-01-15,14:55:06,034049C,3989
2018-05-30,08:28:09,009545C,2878
2020-08-14,10:21:31,069098C,1933
2003-03-11,17:24:29,086644C,4266
2022-06-14,23:53:39,048196C,1867
2024-03-13,21:19:31,075837C,1965
1999-06-29,05:05:30,039592C,2658
2007-05-19,12:52:27,031249C,458
2021-06-06,06:26:05,021597C,2218
2008-04-04,15:11:07,072121C,1541
2020-07-18,16:01:14,075441C,417
2011-03-11,22:00:08,057810C,1014
2018-12-04,11:05:47,025841C,3878
2000-06-18,05:33:57,073345C,3461
2016-02-29,10:14:14,095487C,3463
2013-06-14,05:27:13,056065C,3183
2022-01-12,06:39:17,066637C,293
2020-11-13,16:52:21,093255C,3778
2024-10-14,21:05:16,074360C,905
2024-11-28,13:01:44,066330C,1222
2020-12-03,09:24:13,032829C,4755
2019-01-22,15:12:26,092225C,4221
2022-01-28,22:06:44,053873C,3948
2001-01-10,19:30:11,023672C,3786
2023-12-14,09:26:16,093373C,3150
2014-01-06,21:21:52,024767C,1973
2021-08-18,16:30:49,084723C,3421
1998-05-15,05:35:25,038353C,3714
2007-05-09,12:16:30,022633C,3951
2008-06-25,19:18:23,069813C,4042
2024-04-01,09:53:33,025351C,777
2002-05-18,21:40:43,053378C,1065
2019-06-02,09:21:02,017389C,2799
2023-05-02,10:49:57,081960C,3898
2016-04-15,11:26:31,070514C,1633
2009-11-10,06:50:51,018475C,2836
2024-11-09,21:12:46,060052C,2747
2000-01-15,22:45:54,066047C,4930
2018-07-24,09:40:44,093516C,4102
2024-11-14,23:13:38,076774C,3675
1999-12-18,20:38:53,073570C,2662
2019-09-08,11:00:02,017597C,570
2004-08-08,19:55:43,097726C,1894
2018-07-10,08:55:48,019108C,4284
2021-04-10,14:43:21,082791C,4102
2018-01-25,10:23:35,080351C,2980
2018-11-01,17:28:42,014123C,2661
2021-05-08,19:04:09,003705C,1860
2022-09-25,09:25:29,061242C,4488
2014-09-27,16:45:02,018245C,234
2020-06-19,07:54:26,085367C,4856
2021-10-25,18:34:13,035735C,93
2022-02-27,09:33:41,024302C,4071
2016-12-24,22:34:04,011188C,701
2024-01-29,20:48:00,088723C,1730
2023-10-12,16:19:05,002562C,250
2019-11-06,12:39:55,094234C,288
2021-08-07,21:23:09,008852C,3875
1999-12-05,23:28:17,030109C,1858
2009-08-12,21:21:14,030063C,4895
2004-07-27,07:02:09,032880C,2644
2020-03-21,23:31:04,016401C,4379
2022-12-24,15:24:46,036561C,258
2002-10-01,09:48:09,018069C,314
2011-10-03,18:15:02,053189C,2288
2003-08-12,08:22:18,070212C,3121
2021-01-18,11:47:52,093247C,4497
2018-12-24,15:32:35,014805C,174
1999-04-03,20:52:01,096322C,2172
1998-01-08,16:06:39,078421C,4657
2022-06-22,07:16:36,086700C,913
2021-11-04,23:08:31,062581C,343
2024-05-26,12:22:06,046706C,4629
2023-10-05,11:11:44,081949C,1945
2003-12-11,19:22:10,021344C,2265
2019-01-05,16:35:54,004481C,1704
2013-12-29,15:08:17,011800C,4656
2021-05-21,05:05:42,018958C,2747
2005-10-22,15:02:05,026742C,175
2004-02-18,08:10:45,039425C,2315
2023-06-15,21:35:22,047147C,3738
1998-07-07,21:34:53,097229C,3411
2004-06-05,23:29:20,019959C,1486
2002-01-22,18:43:44,047008C,2408
2000-08-22,05:40:54,084965C,2266
2003-10-26,15:20:35,068528C,2414
2012-09-04,12:54:56,080339C,4292
2009-12-11,06:50:24,021628C,3489
2009-05-21,12:16:20,020476C,4424
2022-08-25,19:45:07,047850C,3530
2002-03-25,21:03:14,018736C,3970
2000-08-23,12:05:19,056331C,866
2023-01-27,09:28:00,084275C,3026
2022-02-24,08:33:15,015109C,4154
2002-02-17,17:27:30,061267C,538
2016-04-07,21:22:12,086183C,2101
2010-11-22,14:50:09,046536C,1586
2023-06-07,13:34:01,050060C,1544
2011-06-25,18:45:10,075250C,2053
2022-06-08,09:53:37,014702C,1436
2022-03-20,21:49:19,017198C,232
2023-10-12,11:03:26,085113C,1434
2008-01-20,17:13:24,042054C,4428
2022-03-29,08:08:54,087451C,764
2022-03-30,07:00:47,047643C,2050
2023-05-28,19:43:17,000088C,3438
2023-09-13,17:16:46,014908C,687
2019-09-20,10:37:15,083483C,1779
2022-08-14,06:32:51,043988C,609
2023-03-10,12:28:45,057534C,1161
2019-11-11,21:18:00,046428C,4961
1997-05-30,16:23:53,000313C,2495
2020-11-23,13:08:01,095773C,3987
2024-01-02,11:38:25,034027C,2840
2024-05-09,19:08:30,031359C,2484
2020-09-15,15:22:54,006635C,5000
2008-01-12,23:25:44,048434C,4168
1998-04-15,23:53:15,063910C,1606
2022-06-20,13:32:10,036369C,4235
2002-02-16,21:48:57,049510C,4415
2020-03-09,21:53:52,074997C,3958
2023-02-16,13:27:19,086969C,3797
2024-09-02,21:03:50,069288C,1651
2019-04-30,19:44:04,044872C,209
2009-12-23,08:54:16,046680C,68
2022-12-17,11:11:39,054359C,1482
2020-07-03,16:39:51,086170C,2252
2013-02-01,05:01:38,021518C,1431
2018-07-26,14:52:15,038375C,3279
2024-10-21,16:54:22,050661C,779
2018-09-20,08:44:01,067505C,1470
2014-08-28,22:17:22,007369C,1768
2018-05-03,17:12:20,058796C,1571
2018-07-26,20:42:09,045529C,4904
2019-12-01,23:40:58,021832C,1917
2019-02-10,06:27:57,048426C,316
2018-05-07,09:32:05,069986C,3495
2007-04-21,11:45:03,036958C,2838
2018-02-17,15:42:47,097797C,2307
2024-06-15,20:38:58,025464C,2768
2012-05-05,07:29:51,046539C,1367
2020-10-24,21:16:35,009447C,3374
2019-05-15,18:42:10,033617C,3493
2024-10-23,08:37:49,037977C,972
2019-04-08,20:18:43,030889C,879
2023-08-01,18:16:17,047712C,966
2021-12-02,21:52:34,097800C,672
2009-09-18,05:49:08,061319C,1066
2022-04-18,20:01:20,094144C,1210
2010-02-01,17:41:37,087000C,1904
2015-02-09,18:01:03,043949C,4967
2022-04-10,09:35:46,025328C,2494
2018-04-15,22:03:47,023012C,3711
2022-11-18,09:35:57,099638C,1101
2018-10-09,23:10:53,018526C,791
2023-10-10,14:17:16,059729C,1793
2024-10-03,05:55:40,066741C,482
2024-11-06,07:00:40,018261C,2391
2014-09-15,09:53:48,006929C,4215
2017-07-02,08:21:00,007085C,2708
2018-08-26,15:37:48,072907C,572
2011-08-03,11:16:28,072591C,2778
2024-06-02,20:34:33,014412C,751
2004-02-04,19:24:49,033556C,3363
2020-06-18,22:27:33,071342C,666
2022-07-22,09:41:25,032300C,4249
2017-06-13,07:09:09,001747C,342
2011-04-19,23:07:42,065482C,617
2022-02-07,23:19:22,058050C,3967
2024-09-23,15:47:42,086781C,3883
2021-04-22,12:49:32,019310C,367
2023-03-03,16:21:50,000307C,4256
2017-01-12,23:04:30,025468C,968
2005-01-10,12:34:01,024849C,4309
2024-10-15,06:36:22,003569C,385
2018-03-05,10:21:17,098102C,4041
2023-08-04,18:00:51,025895C,1994
2018-01-01,20:47:46,021500C,2880
2024-04-20,10:02:48,046576C,3994
2019-07-20,10:53:24,065700C,2417
2020-07-28,23:30:13,007003C,283
2022-04-24,10:39:28,020111C,2642
2022-11-07,18:36:49,090452C,1240
2020-03-01,17:15:23,019441C,3181
2008-05-26,11:16:15,006320C,4454
2018-07-23,16:29:15,018470C,4969
2013-11-15,09:20:15,042275C,1239
2020-03-25,13:35:11,072826C,4455
2020-07-29,08:28:30,033110C,1737
2024-07-28,16:38:15,080997C,787
2021-06-21,11:18:24,032139C,2299
2021-04-08,16:54:26,000718C,2643
2024-11-21,06:12:12,013119C,1399
2021-04-07,19:05:16,092366C,4168
1999-03-14,20:26:52,091025C,2633
2019-05-24,17:03:55,055675C,1002
2023-06-15,15:10:48,066004C,2240
2019-01-31,22:28:19,095275C,4548
2020-01-13,20:23:14,052001C,794
2020-06-10,07:32:01,080183C,4832
2024-03-16,08:36:15,025018C,225
2008-06-12,08:52:59,060124C,2616
1998-12-21,23:55:25,051077C,1111
2018-04-22,23:39:33,002818C,1680
2013-06-16,10:11:37,050081C,1911
2011-04-20,12:16:31,092061C,2546
2001-11-16,13:13:05,079615C,1176
2022-03-09,18:11:12,023534C,4883
2017-07-24,22:42:30,057540C,1093
2024-02-07,13:05:57,006588C,2347
2018-09-11,12:00:57,027974C,1234
2023-09-24,23:43:00,004771C,3485
2002-03-26,20:34:02,004268C,4183
2009-01-31,12:42:11,014687C,3800
2011-01-26,19:14:41,036754C,2315
2018-04-20,11:06:22,061389C,4075
2017-11-23,22:37:18,036917C,1844
2012-12-11,17:04:11,007908C,3136
2010-03-28,23:41:06,085029C,4294
2021-11-26,19:09:27,074144C,2203
2018-05-27,22:12:48,059548C,1515
2018-11-12,13:28:20,046323C,3141
2022-01-03,16:53:55,094116C,3255
2024-08-14,17:35:08,030518C,4492
2019-04-16,06:19:39,084314C,3694
2018-03-04,23:26:13,028048C,3899
1998-03-09,07:06:34,093800C,3354
2017-06-09,19:47:41,069253C,1435
2001-08-06,12:15:06,026462C,4962
2008-02-07,07:53:35,080467C,1801
2018-11-24,11:31:05,025748C,1628
2023-12-16,08:32:08,094134C,1659
2022-09-03,21:40:39,043614C,3595
2023-07-10,13:43:51,007869C,3921
2020-12-13,05:22:22,033896C,1746
2019-08-29,06:12:28,002706C,1823
2021-04-06,11:52:00,035792C,1234
2013-10-06,20:05:38,079046C,2321
2018-12-11,14:25:21,044418C,2496
2018-07-06,07:39:07,028227C,4126
2017-11-03,07:14:55,011170C,1174
2023-12-18,12:54:01,050384C,4032
2012-12-23,21:54:40,006434C,3092
2023-03-24,09:07:32,092678C,2693
2008-07-29,07:23:57,090104C,1629
2001-04-24,14:33:44,088753C,3532
2023-10-22,17:25:02,043910C,1229
2024-01-27,14:40:42,097036C,1330
2023-04-17,20:22:09,048031C,4855
2007-03-02,23:27:16,077552C,1793
2001-05-28,10:08:28,093118C,4452
2021-04-19,10:53:02,088935C,2508
2024-10-19,23:05:43,072780C,3063
2020-07-01,08:06:31,088991C,2072
2024-05-06,05:55:45,023865C,4887
2001-03-20,13:47:37,012942C,2164
2022-06-01,17:10:15,099639C,1059
2024-09-06,23:46:49,005540C,4301
2003-07-08,20:41:59,010236C,2052
1998-05-19,09:45:38,015755C,1241
2024-08-26,09:54:48,009769C,4909
2021-05-02,07:06:17,088315C,842
2012-03-17,19:36:49,019698C,2173
2021-02-28,06:45:04,014389C,1218
2024-06-08,19:03:22,029630C,2786
2003-07-25,18:24:57,044643C,241
2021-11-16,12:13:49,088434C,790
2021-01-12,09:15:55,074647C,4343
1999-08-24,15:55:00,010396C,2111
2018-05-19,21:35:08,085561C,2778
2018-05-05,22:24:59,047915C,1701
2013-08-15,19:41:40,001394C,2269
2005-10-08,13:49:19,041201C,753
1997-12-27,19:01:24,057627C,3724
2014-10-11,14:32:39,038253C,3532
2023-09-02,23:47:33,073842C,1654
2016-06-13,05:17:06,041981C,3213
2022-11-12,11:31:56,066527C,3917
2004-06-06,17:08:38,081255C,4134
2004-11-23,10:44:00,083074C,1761
2000-04-05,08:42:01,091863C,3632
2014-03-05,11:21:26,053014C,1104
2023-12-11,08:15:22,047537C,3929
2022-06-16,16:27:54,039872C,3634
2021-07-29,23:06:05,006806C,4628
2022-04-25,09:06:00,012120C,4359
2020-08-06,17:41:30,090211C,2005
2000-12-09,08:26:03,081868C,2487
2019-03-29,14:17:33,093310C,1079
2021-08-16,15:00:09,024565C,72
2016-05-04,15:28:54,034084C,1685
2011-06-11,23:29:16,011697C,4531
1999-12-10,19:25:00,021933C,905
2000-08-23,15:46:13,039506C,2619
2021-07-15,21:49:19,084096C,817
1999-03-22,14:47:03,072169C,2073
2018-11-05,08:43:10,004647C,3701
2011-03-17,19:16:57,078015C,1434
2024-08-01,23:01:35,053084C,3160
2002-05-24,08:06:19,082658C,738
2024-03-31,17:13:16,084784C,3204
1998-02-15,21:35:53,016117C,3074
