OORDER_ID,ARRIVAL_DATE,ARRIVAL_TIME,TABLE_NUMBER,CUSTOMER_QUANTITY,BRANCH_ID
O000602,2024-05-12,21:28:23,50,8,B006
O000604,2022-01-17,11:09:56,6,3,B002
O000605,2021-12-11,17:50:50,12,3,B004
O000606,2024-04-30,11:32:16,32,8,B014
O000609,2023-05-28,09:08:42,4,2,B008
O000611,2021-10-11,19:39:05,4,5,B011
O000612,2018-09-12,19:53:54,38,10,B010
O000613,2021-09-29,15:32:15,12,4,B014
O000614,2018-07-02,19:41:11,11,2,B011
O000617,2018-12-19,10:37:59,39,7,B012
O000620,2022-02-23,12:12:34,38,10,B010
O000621,2020-12-22,21:02:41,38,8,B013
O000622,2022-01-15,08:45:55,29,6,B008
O000623,2023-08-31,17:53:08,18,5,B011
O000624,2023-04-29,19:41:09,6,3,B015
O000632,2024-11-17,19:59:04,24,4,B003
O000635,2020-01-04,15:33:53,5,4,B001
O000642,2024-04-20,14:48:31,27,9,B007
O000643,2022-02-25,17:18:48,39,7,B012
O000644,2016-12-06,17:17:54,13,2,B012
O000649,2021-12-15,20:01:46,17,2,B012
O000656,2024-09-21,11:29:26,50,8,B014
O000657,2024-04-19,08:43:29,12,3,B006
O000658,2021-04-02,13:53:03,10,2,B003
O000660,2019-01-12,19:43:02,34,9,B006
O000665,2018-05-16,11:32:22,38,8,B003
O000666,2016-08-16,08:38:56,35,10,B008
O000668,2021-08-30,11:36:47,27,7,B007
O000669,2024-07-12,19:03:10,22,5,B011
O000671,2024-07-10,18:06:57,27,10,B010
O000672,2021-05-28,09:16:14,5,3,B008
O000673,2022-05-30,18:36:44,46,6,B003
O000674,2020-05-23,10:26:17,23,2,B010
O000675,2021-02-28,10:36:04,12,1,B006
O000682,2019-07-03,19:25:01,49,9,B009
O000684,2016-05-03,10:29:27,42,7,B003
O000685,2021-02-22,17:45:40,47,7,B013
O000687,2024-08-30,19:42:43,45,10,B008
O000693,2020-08-14,16:23:58,48,9,B010
O000696,2024-09-05,14:24:43,13,5,B009
O000698,2024-04-20,14:55:31,2,3,B001
O000702,2021-10-13,11:50:06,43,7,B015
O000704,2023-10-25,19:09:45,42,6,B006
O000707,2016-06-16,13:41:47,16,2,B004
O000710,2017-01-19,18:41:22,10,5,B003
O000727,2023-03-04,12:16:24,6,4,B009
O000731,2024-11-15,17:53:39,38,8,B007
O000732,2016-08-19,13:29:31,19,4,B001
O000733,2020-08-08,13:56:54,15,4,B010
O000736,2018-08-26,09:57:00,8,2,B011
O000738,2021-07-08,09:25:48,12,3,B011
O000742,2024-07-22,07:28:45,29,10,B012
O000745,2022-04-10,10:58:02,25,5,B015
O000746,2020-03-26,17:47:52,19,2,B008
O000748,2022-11-28,11:25:48,19,4,B008
O000752,2020-05-07,08:06:16,19,1,B015
O000753,2024-08-16,17:03:20,12,4,B005
O000755,2023-12-20,09:50:48,34,7,B007
O000762,2017-01-06,18:21:57,17,2,B012
O000765,2023-08-09,20:15:06,39,6,B015
O000766,2024-02-28,14:45:36,30,8,B015
O000767,2022-05-06,19:55:18,29,9,B015
O000769,2022-03-10,20:35:47,34,7,B010
O000771,2022-05-04,14:16:23,26,10,B008
O000773,2022-11-19,09:05:20,43,10,B014
O000775,2023-10-10,06:52:59,38,7,B012
O000781,2024-11-02,11:22:18,5,4,B012
O000789,2023-04-26,09:31:36,45,6,B007
O000790,2024-01-20,12:37:57,19,5,B008
O000791,2020-12-04,18:58:29,13,4,B007
O000794,2024-10-14,10:49:35,14,4,B010
O000798,2019-06-02,12:44:59,18,4,B002
O000803,2024-09-12,10:54:51,28,7,B001
O000804,2022-08-22,20:16:29,27,10,B007
O000810,2022-12-29,18:55:57,20,2,B001
O000815,2022-05-13,13:23:00,35,9,B011
O000817,2021-01-27,13:01:12,14,4,B004
O000820,2018-06-26,20:05:27,22,5,B015
O000823,2024-10-21,20:10:23,27,6,B005
O000829,2023-03-25,09:48:44,30,6,B006
O000833,2021-05-30,20:36:34,30,6,B014
O000838,2016-06-15,17:50:37,22,4,B009
O000842,2016-06-16,20:51:52,35,7,B010
O000843,2023-09-23,09:55:24,44,9,B007
O000844,2022-12-30,11:23:50,42,9,B010
O000847,2021-11-18,10:49:21,24,2,B005
O000848,2022-08-31,17:04:37,6,1,B003
O000852,2021-10-02,10:19:25,7,4,B010
O000855,2024-04-01,18:39:56,27,7,B002
O000857,2022-06-14,16:37:30,35,10,B013
O000859,2023-01-12,10:46:37,6,2,B006
O000863,2024-09-29,12:44:53,49,7,B001
O000870,2024-09-19,14:53:10,12,5,B010
O000872,2024-09-15,14:20:38,28,7,B003
O000879,2023-07-10,19:14:25,36,6,B007
O000888,2019-12-06,13:48:00,32,8,B012
O000892,2023-11-12,16:02:47,49,8,B005
O000895,2024-11-17,20:14:39,36,9,B008
O000900,2024-04-10,17:58:26,43,10,B011
O000903,2024-10-04,09:07:27,36,9,B014
O000916,2023-01-18,20:24:06,32,8,B005
O000918,2020-09-29,20:44:33,21,2,B015
O000920,2022-03-01,09:59:04,39,10,B012
O000927,2020-04-21,18:00:56,29,7,B014
O000930,2024-05-03,21:32:41,7,3,B014
O000935,2024-10-13,18:06:22,43,6,B006
O000937,2021-01-28,10:09:03,42,6,B013
O000938,2024-11-12,09:32:54,23,3,B005
O000943,2017-06-09,12:48:53,17,2,B003
O000951,2022-11-30,08:36:52,43,10,B012
O000952,2023-04-26,14:57:47,27,9,B008
O000954,2021-01-13,09:33:08,39,6,B003
O000955,2017-12-21,14:40:40,25,3,B013
O000956,2022-07-04,19:03:24,48,10,B003
O000959,2024-11-21,18:46:53,36,7,B001
O000963,2019-05-02,20:21:46,26,10,B013
O000964,2023-10-02,21:03:19,46,7,B006
O000969,2018-10-16,21:07:34,48,10,B002
O000971,2023-10-05,09:20:47,8,3,B009
O000973,2022-01-10,18:53:26,9,1,B005
O000978,2024-10-03,09:22:03,13,4,B001
O000982,2022-06-29,15:13:08,48,8,B011
O000984,2016-07-28,12:34:48,37,8,B006
O000986,2023-01-09,18:14:33,15,5,B002
O000988,2019-08-16,08:43:17,1,2,B001
O000990,2022-12-22,08:02:44,9,4,B015
O000991,2020-06-18,16:02:19,48,7,B003
O000993,2021-12-24,16:28:06,13,1,B015
O000995,2023-03-24,19:57:43,45,9,B009
O001003,2023-04-26,16:25:22,40,9,B010
O001004,2018-07-04,17:30:26,46,10,B009
O001007,2022-08-31,11:20:03,13,5,B010
O001010,2022-04-26,19:42:02,42,7,B005
O001011,2023-09-22,13:37:32,45,6,B006
O001012,2021-10-17,08:05:47,26,8,B011
O001015,2022-03-16,17:12:09,11,2,B004
O001018,2018-06-08,11:45:42,8,4,B004
O001019,2024-05-19,10:14:17,12,3,B015
O001024,2021-09-08,08:10:25,25,4,B011
O001025,2023-06-18,19:33:36,44,9,B007
O001026,2021-06-19,12:30:08,20,3,B010
O001027,2018-06-23,21:33:42,16,2,B014
O001030,2022-04-12,16:18:12,31,6,B009
O001041,2020-01-06,14:39:20,3,3,B009
O001048,2021-05-24,15:43:11,45,10,B003
O001051,2019-07-15,11:48:35,17,5,B003
O001053,2023-10-15,11:34:35,2,4,B005
O001056,2023-11-21,12:42:10,5,1,B001
O001059,2019-11-22,19:35:59,15,2,B014
O001063,2023-09-12,14:42:21,38,6,B002
O001067,2019-04-23,11:25:55,44,8,B006
O001077,2024-01-21,19:43:18,19,2,B011
O001084,2022-11-22,20:15:09,36,7,B015
O001088,2020-08-02,16:12:02,30,10,B011
O001092,2018-06-04,08:46:23,47,9,B003
O001093,2020-12-22,09:42:23,9,2,B014
O001094,2022-04-26,20:25:16,17,3,B014
O001102,2023-10-07,14:48:11,39,9,B012
O001106,2022-12-28,15:32:05,2,5,B003
O001107,2020-05-06,19:01:27,36,9,B015
O001108,2021-05-28,11:59:42,18,5,B003
O001110,2024-02-10,09:39:27,24,3,B010
O001116,2023-09-16,19:15:02,41,10,B009
O001117,2018-11-13,09:42:00,33,10,B009
O001119,2022-03-25,10:19:12,1,3,B015
O001130,2023-04-12,19:54:04,32,6,B001
O001131,2016-06-28,11:24:50,7,5,B015
O001134,2018-08-31,12:32:12,41,9,B009
O001137,2024-08-15,14:15:12,25,5,B003
O001141,2017-12-14,11:58:14,2,2,B007
O001142,2024-02-11,17:08:21,10,3,B008
O001158,2019-06-02,17:13:44,43,10,B011
O001161,2018-01-12,19:01:38,36,7,B008
O001163,2016-09-20,11:28:53,37,8,B008
O001165,2024-11-24,08:45:16,16,2,B008
O001167,2024-03-26,15:00:04,33,8,B002
O001175,2021-06-02,09:20:53,23,1,B008
O001181,2023-11-17,16:15:50,40,9,B011
O001186,2024-10-12,13:27:43,15,1,B009
O001189,2023-05-23,18:37:44,1,3,B001
O001193,2021-07-15,14:48:01,17,4,B006
O001195,2017-11-11,12:34:09,22,2,B008
O001196,2023-03-12,17:15:58,22,3,B002
O001198,2023-12-08,15:11:33,30,9,B002
O001199,2017-05-02,20:36:18,27,10,B010
O001203,2018-01-29,17:42:09,22,4,B007
O001205,2023-04-30,10:48:30,37,7,B013
O001206,2024-10-04,08:56:30,23,1,B001
O001207,2024-01-20,15:24:11,13,4,B012
O001210,2019-05-23,14:25:33,43,9,B002
O001214,2024-09-02,11:40:33,18,5,B002
O001215,2022-12-18,18:00:40,4,4,B004
O001217,2024-04-16,09:01:26,27,8,B013
O001219,2022-07-13,10:00:04,35,10,B002
O001222,2018-01-12,16:26:38,13,1,B015
O001225,2021-12-18,17:56:45,36,10,B003
O001226,2020-12-22,18:25:24,17,1,B014
O001227,2023-08-15,14:00:26,1,3,B008
O001229,2024-02-14,11:50:21,29,6,B003
O001232,2021-06-18,13:00:53,2,2,B012
O001233,2024-07-30,08:42:36,16,3,B003
O001234,2020-09-20,17:22:49,10,5,B014
O001236,2022-03-17,12:41:11,27,9,B001
O001237,2021-08-15,15:33:27,39,8,B004
O001238,2021-12-04,18:08:58,11,2,B001
O001243,2023-02-06,10:52:55,13,1,B005
O001246,2024-11-26,16:04:40,35,10,B005
O001249,2021-09-06,08:00:38,33,8,B003
O001257,2024-02-04,15:31:54,17,1,B001
O001259,2016-08-10,18:00:23,3,1,B015
O001260,2022-04-05,12:52:03,27,6,B001
O001262,2017-12-01,10:18:35,18,4,B004
O001264,2024-10-03,19:37:20,42,10,B014
O001269,2022-11-10,18:58:11,5,1,B010
O001274,2021-01-23,10:29:05,11,3,B004
O001276,2021-11-27,07:25:50,44,7,B012
O001280,2020-01-22,12:41:01,31,9,B012
O001282,2024-07-05,19:14:26,22,4,B008
O001283,2017-09-19,08:55:46,26,10,B003
O001284,2022-08-06,12:34:22,22,4,B007
O001285,2023-11-22,10:41:15,38,7,B004
O001286,2022-11-06,08:45:38,5,1,B013
O001289,2024-03-02,19:05:11,41,9,B015
O001292,2022-02-07,10:01:35,16,2,B003
O001295,2017-11-26,15:27:50,10,2,B014
O001297,2021-02-08,11:32:51,41,7,B012
O001299,2020-11-04,14:07:16,21,2,B004
O001300,2024-11-11,17:16:43,31,10,B011
O001302,2017-12-27,15:55:07,45,6,B004
O001306,2022-12-20,13:58:03,32,7,B014
O001307,2024-11-17,19:21:41,8,1,B002
O001308,2023-08-14,16:54:36,21,3,B011
O001309,2017-03-08,19:46:41,12,4,B006
O001310,2019-04-08,17:40:38,23,3,B002
O001314,2021-03-09,21:29:09,11,3,B005
O001315,2019-08-14,14:56:38,24,3,B010
O001316,2024-08-14,11:47:37,38,6,B013
O001320,2022-10-17,18:51:59,1,3,B011
O001326,2018-09-24,10:52:16,44,6,B001
O001329,2024-04-05,16:21:17,41,10,B002
O001333,2024-11-01,13:05:35,44,6,B006
O001334,2023-02-08,17:30:13,16,3,B010
O001345,2024-08-28,09:21:16,32,6,B013
O001349,2024-10-24,08:37:41,26,6,B003
O001352,2020-07-14,16:25:29,36,10,B007
O001353,2020-10-04,12:31:20,5,4,B005
O001355,2020-11-16,18:13:40,3,3,B012
O001362,2021-02-07,16:51:55,41,7,B012
O001363,2023-09-09,21:12:23,19,3,B002
O001367,2024-07-01,06:34:47,30,6,B013
O001368,2023-06-15,14:24:03,15,2,B009
O001370,2022-10-17,18:19:10,9,2,B007
O001374,2022-07-11,13:56:46,7,4,B014
O001375,2018-03-01,10:07:36,40,10,B001
O001376,2021-04-02,14:03:55,34,7,B005
O001377,2024-03-12,09:30:06,39,7,B003
O001378,2017-09-02,11:07:56,31,6,B012
O001384,2024-12-02,17:28:14,47,10,B014
O001385,2024-12-05,11:50:03,23,3,B011
O001386,2024-11-29,17:34:00,23,4,B012
O001387,2017-09-17,09:15:44,24,5,B005
O001390,2023-12-01,15:51:59,5,3,B014
O001391,2017-04-13,17:13:48,38,7,B014
O001394,2024-11-30,09:24:10,2,3,B004
O001395,2020-03-29,12:15:00,28,6,B015
O001396,2023-01-23,13:29:26,26,7,B014
O001398,2023-12-22,13:03:28,11,2,B011
O001399,2021-06-10,10:37:39,21,2,B007
O001403,2024-06-06,12:24:59,30,10,B009
O001405,2024-02-09,13:50:39,12,5,B009
O001414,2024-09-21,12:01:19,41,8,B007
O001416,2022-11-25,14:03:19,26,8,B005
O001418,2021-01-21,11:36:40,44,6,B009
O001420,2024-06-08,13:16:50,23,5,B007
O001422,2023-09-08,09:46:38,14,4,B007
O001423,2022-08-06,07:25:30,47,10,B009
O001428,2019-07-07,07:44:57,5,4,B012
O001432,2021-10-08,14:25:38,34,7,B015
O001433,2023-04-23,14:53:19,42,7,B014
O001437,2022-12-09,09:50:47,39,7,B004
O001442,2019-10-25,15:39:04,44,8,B014
O001446,2024-01-02,20:13:16,16,1,B006
O001448,2024-07-17,16:24:27,18,3,B006
O001450,2022-08-16,18:00:20,14,4,B004
O001461,2023-04-22,09:59:09,41,9,B013
O001465,2021-06-10,11:43:55,32,7,B008
O001471,2022-08-24,15:52:29,18,1,B015
O001474,2021-07-17,14:13:22,22,3,B012
O001475,2021-08-14,17:29:56,29,6,B008
O001479,2022-09-17,14:10:35,21,2,B004
O001481,2022-12-14,16:55:09,13,5,B012
O001483,2017-09-11,20:05:29,11,3,B011
O001486,2016-02-29,10:21:53,42,10,B013
O001490,2021-08-25,19:54:25,40,7,B012
O001495,2023-04-26,12:20:07,5,5,B010
O001499,2024-11-11,07:03:23,23,1,B012
O001503,2023-11-09,11:20:57,32,6,B012
O001508,2020-06-20,15:36:03,34,7,B013
O001509,2021-11-27,19:29:03,17,2,B015
O001516,2022-04-12,18:40:59,49,8,B015
O001517,2018-10-23,11:59:36,18,2,B011
O001518,2022-01-23,11:02:18,4,1,B012
O001520,2023-10-14,09:04:15,23,2,B009
O001522,2024-01-19,15:14:42,36,8,B009
O001525,2021-01-10,19:37:32,5,5,B015
O001527,2024-05-03,13:17:28,33,9,B015
O001538,2018-05-15,13:30:53,33,9,B012
O001539,2023-07-03,08:42:02,17,2,B003
O001542,2020-09-17,18:58:27,28,9,B001
O001543,2022-05-25,07:18:37,14,5,B008
O001549,2019-07-21,15:31:05,6,5,B010
O001551,2021-12-31,15:49:36,26,9,B013
O001560,2022-08-24,19:34:11,40,6,B007
O001561,2021-08-17,14:49:42,13,3,B005
O001563,2022-05-03,08:52:29,10,5,B014
O001564,2016-09-19,16:13:39,7,1,B015
O001565,2022-02-26,11:00:05,21,5,B015
O001566,2022-09-03,15:00:04,27,6,B007
O001567,2024-10-31,16:13:35,35,10,B007
O001568,2018-08-07,13:05:02,32,9,B014
O001571,2024-11-10,11:18:31,42,9,B002
O001574,2024-02-11,09:19:49,15,1,B012
O001575,2018-05-28,18:23:07,18,3,B013
O001576,2024-01-09,18:43:40,30,8,B001
O001577,2021-01-07,20:50:25,18,5,B005
O001578,2022-05-30,22:13:33,38,8,B009
O001582,2024-11-28,09:37:15,32,6,B013
O001585,2024-05-19,17:30:50,44,10,B001
O001592,2021-09-15,11:45:16,46,9,B002
O001594,2019-11-11,16:57:23,4,2,B012
O001599,2021-06-06,20:10:50,9,3,B014
O001600,2022-01-25,16:42:27,38,7,B014
O001601,2024-05-28,20:45:43,33,8,B001
O001603,2023-06-29,16:22:19,7,1,B012
O001605,2023-12-30,07:45:06,33,8,B003
O001606,2020-07-31,19:28:17,23,1,B010
O001607,2021-01-31,13:59:19,36,8,B004
O001610,2024-01-02,15:38:15,5,3,B002
O001611,2024-02-23,20:18:02,15,5,B005
O001621,2021-07-26,11:26:11,3,2,B001
O001622,2024-08-23,16:54:53,30,6,B005
O001637,2019-05-25,12:35:48,45,8,B005
O001638,2022-07-01,13:54:12,40,7,B015
O001639,2019-11-18,13:30:02,11,5,B006
O001640,2020-09-12,16:18:35,37,9,B006
O001641,2022-12-06,07:16:32,3,4,B009
O001645,2024-06-27,14:33:00,8,3,B010
O001646,2024-11-11,17:08:47,22,1,B010
O001648,2021-01-23,12:47:54,19,2,B008
O001649,2023-02-26,19:07:55,5,2,B003
O001650,2021-03-19,19:34:03,33,6,B009
O001653,2020-09-24,20:12:55,19,5,B002
O001658,2017-06-23,19:24:31,5,2,B002
O001662,2016-07-04,16:32:08,26,10,B010
O001667,2021-12-21,15:24:15,42,9,B009
O001678,2023-08-19,17:47:00,23,4,B010
O001680,2023-09-23,17:04:07,20,4,B006
O001681,2024-02-11,20:32:21,15,1,B014
O001689,2023-03-17,12:40:28,35,8,B001
O001690,2023-04-14,11:44:05,26,9,B015
O001696,2019-01-30,09:23:35,38,10,B002
