DORDER_ID,DATE_DELIVERY,TIME_DELIVERY
O000423,2021-01-14,14:14:57
O000427,2023-09-27,20:04:06
O000429,2016-11-25,17:43:49
O000430,2024-09-22,17:43:16
O000442,2024-09-26,16:45:05
O000443,2024-03-17,15:35:26
O000447,2023-08-22,18:50:23
O000452,2019-05-19,17:00:03
O000453,2017-02-17,20:31:09
O000455,2019-03-30,20:37:23
O000456,2022-12-09,11:24:52
O000459,2019-05-10,14:11:20
O000465,2022-09-26,20:35:37
O000469,2024-06-23,11:22:12
O000470,2023-09-01,12:08:17
O000476,2022-10-02,20:33:59
O000480,2022-10-21,08:26:45
O000486,2020-11-11,17:12:18
O000487,2024-11-13,18:25:41
O000490,2024-04-16,13:26:29
O000493,2021-12-12,20:43:58
O000504,2021-02-18,20:36:27
O000518,2021-06-01,09:37:28
O000522,2019-05-16,12:42:20
O000524,2023-05-20,08:55:59
O000530,2022-02-13,17:49:02
O000533,2024-11-12,13:28:02
O000534,2024-07-17,11:10:22
O000535,2023-02-27,17:50:34
O000537,2024-04-29,10:16:27
O000541,2023-06-15,07:06:30
O000542,2024-09-27,20:58:43
O000545,2022-09-04,13:26:34
O000554,2022-09-08,16:24:52
O000557,2023-04-22,16:22:03
O000559,2016-01-15,18:02:11
O000565,2024-03-27,10:33:52
O000576,2022-12-07,15:49:26
O000577,2024-04-23,20:47:05
O000578,2016-11-28,12:47:21
O000579,2019-01-23,19:47:40
O000580,2023-03-15,10:57:20
O000583,2023-11-05,16:55:43
O000590,2024-11-08,17:43:39
O000595,2024-12-03,16:07:22
O000599,2023-09-08,13:52:53
O000601,2020-10-10,10:27:24
O000606,2024-09-24,15:07:34
O000609,2023-03-27,13:09:17
O000612,2024-05-08,21:10:30
O000614,2024-09-15,14:36:29
O000617,2020-12-22,15:56:21
O000622,2023-06-09,16:52:56
O000624,2020-06-28,08:32:03
O000625,2022-06-03,17:45:07
O000627,2020-08-03,20:54:23
O000632,2024-02-20,14:10:33
O000640,2021-09-19,12:27:11
O000643,2024-10-02,16:57:27
O000644,2019-08-01,11:00:44
O000645,2022-01-26,19:52:36
O000646,2020-08-03,16:40:06
O000651,2024-12-05,16:04:53
O000652,2024-09-08,21:21:57
O000654,2023-01-26,18:44:00
O000663,2020-12-10,19:38:54
O000666,2018-05-09,13:45:12
O000668,2016-08-22,14:28:31
O000669,2023-03-26,11:54:38
O000670,2024-08-29,18:30:50
O000675,2021-11-19,12:14:24
O000680,2022-03-09,20:34:19
O000681,2021-04-24,17:19:52
O000683,2019-12-31,17:10:36
O000685,2019-12-30,16:19:57
O000686,2022-12-25,19:31:01
O000690,2018-07-10,11:50:39
O000691,2018-05-22,12:58:11
O000692,2022-03-05,19:08:15
O000693,2022-03-25,18:46:07
O000694,2021-12-22,14:33:29
O000696,2024-05-11,10:12:48
O000701,2023-07-19,14:37:52
O000704,2024-10-24,16:16:50
O000707,2020-12-12,11:22:48
O000709,2024-02-07,16:44:04
O000714,2021-11-02,17:39:38
O000719,2024-01-10,16:32:18
O000721,2023-11-07,19:49:04
O000726,2022-08-31,11:32:31
O000728,2020-05-04,11:39:44
O000734,2017-02-06,19:19:12
O000735,2020-12-14,10:04:28
O000742,2023-06-04,09:57:44
O000744,2023-09-14,12:42:19
O000749,2022-11-14,19:16:22
O000750,2023-02-01,15:04:28
O000764,2020-05-22,19:53:24
O000766,2021-11-21,18:31:02
O000767,2022-11-09,13:59:26
O000769,2019-06-25,13:59:33
O000773,2017-12-04,20:35:57
O000778,2023-11-16,13:01:51
O000779,2016-10-06,11:52:55
O000780,2024-11-26,10:37:59
O000784,2023-08-30,12:14:46
O000786,2021-07-22,09:19:30
O000788,2024-06-09,16:10:30
O000791,2024-11-16,11:20:04
O000792,2022-01-19,20:21:41
O000794,2019-06-03,11:14:26
O000798,2024-06-17,17:22:18
O000799,2021-06-19,10:53:58
O000801,2020-01-18,13:13:18
O000804,2024-04-07,12:05:21
O000808,2023-05-20,16:54:40
O000810,2020-07-20,18:06:09
O000813,2024-10-27,08:39:12
O000817,2021-10-28,14:02:10
O000819,2024-06-12,09:39:35
O000822,2023-04-09,15:34:10
O000825,2022-09-09,17:10:38
O000826,2022-11-14,13:46:39
O000832,2021-02-27,13:28:21
O000836,2024-11-07,19:17:46
O000852,2017-08-25,13:33:54
O000854,2024-03-25,09:46:15
O000866,2024-07-29,20:06:30
O000868,2024-10-07,21:02:20
O000874,2018-02-18,15:45:34
O000879,2022-05-19,12:27:49
O000880,2022-10-03,18:19:44
O000881,2024-10-20,16:47:31
O000882,2019-05-07,17:57:48
O000884,2024-07-15,13:20:04
O000886,2024-10-21,18:14:28
O000891,2024-01-01,20:06:22
O000895,2022-08-02,11:43:26
O000899,2024-02-18,15:28:21
O000900,2020-02-29,08:53:58
O000903,2021-08-20,10:16:27
O000907,2020-03-23,17:41:49
O000911,2018-08-18,19:11:29
O000913,2017-07-22,11:46:50
O000915,2024-09-03,11:29:04
O000918,2018-09-05,09:58:33
O000920,2022-12-23,21:48:35
O000921,2023-11-01,11:03:44
O000929,2024-09-08,09:42:51
O000935,2023-12-12,14:38:15
O000936,2021-09-14,18:13:35
O000938,2020-03-08,13:57:34
O000940,2021-03-21,16:02:14
O000942,2023-10-24,08:06:21
O000943,2023-12-29,20:03:11
O000945,2023-12-26,15:00:36
O000948,2019-06-30,20:19:17
O000950,2016-11-27,08:59:49
O000951,2022-08-01,16:42:49
O000955,2017-07-09,11:04:58
O000959,2022-04-10,18:34:11
O000961,2023-11-03,11:48:21
O000962,2022-05-03,09:43:53
O000964,2020-06-30,13:36:21
O000968,2018-06-20,14:08:36
O000969,2022-07-21,18:47:22
O000972,2020-01-03,11:55:58
O000975,2019-02-02,18:56:16
O000978,2022-10-14,09:16:43
O000984,2024-07-07,11:59:01
O000990,2024-08-20,12:06:09
O000993,2022-10-29,18:03:32
O000994,2022-08-11,19:00:11
O000997,2024-10-24,13:18:35
O001002,2023-04-18,11:38:59
O001003,2016-03-31,20:29:39
O001007,2018-08-15,13:31:17
O001011,2016-05-30,21:03:55
O001014,2024-06-05,20:13:44
O001021,2024-06-25,12:55:10
O001025,2019-04-05,20:34:02
O001028,2024-05-29,11:10:35
O001037,2024-11-11,17:27:09
O001039,2024-04-17,14:01:24
O001042,2022-12-20,21:00:06
O001043,2020-08-30,07:08:23
O001047,2021-01-02,14:07:49
O001052,2018-11-16,14:42:14
O001053,2024-10-18,10:29:28
O001054,2024-08-27,14:50:14
O001056,2018-04-17,09:44:09
O001062,2020-09-30,20:50:47
O001064,2022-11-26,15:20:37
O001068,2019-11-16,15:29:18
O001070,2017-08-12,17:13:51
O001071,2022-07-30,10:37:10
O001072,2021-04-15,12:58:03
O001073,2022-02-18,13:31:19
O001075,2022-01-04,15:42:59
O001076,2022-04-06,20:48:15
O001083,2019-06-30,11:09:25
O001084,2019-09-17,18:02:18
O001087,2024-11-24,12:16:48
O001102,2024-06-24,10:33:03
O001103,2022-02-17,18:04:39
O001105,2015-12-10,10:08:23
O001107,2020-12-17,16:43:59
O001112,2021-03-19,18:10:52
O001114,2021-07-30,17:41:59
O001115,2019-02-04,21:06:20
O001121,2020-07-27,12:05:59
O001123,2020-08-02,11:17:38
O001124,2020-11-11,10:57:52
O001125,2022-07-18,16:53:25
O001128,2022-06-30,10:37:12
O001129,2019-03-24,14:59:00
O001130,2018-05-30,14:03:17
O001133,2024-09-15,20:46:59
O001135,2024-10-13,11:07:44
O001137,2024-07-22,08:16:45
O001146,2018-08-30,10:12:03
O001147,2023-09-23,19:11:51
O001150,2024-05-27,09:15:43
O001156,2024-04-28,07:02:20
O001160,2021-08-19,12:37:16
O001161,2024-04-14,09:55:02
O001168,2023-01-07,16:52:31
O001171,2020-12-27,17:29:05
O001179,2024-01-06,15:04:07
O001181,2024-02-11,09:32:57
O001184,2022-09-23,18:30:06
O001186,2021-10-10,10:18:00
O001187,2023-05-25,13:03:28
O001189,2024-08-16,07:54:32
O001194,2024-03-23,21:20:20
O001206,2017-04-11,08:03:04
O001210,2022-09-10,10:58:21
O001213,2023-09-10,14:58:47
O001217,2019-08-31,13:35:44
O001218,2024-10-09,09:18:59
O001228,2021-11-05,20:51:55
O001230,2020-05-30,18:24:27
O001231,2023-12-14,07:43:13
O001240,2020-03-29,07:50:05
O001244,2023-09-14,10:43:47
O001245,2020-11-12,13:31:28
O001247,2023-07-09,15:46:10
O001253,2018-05-19,13:55:20
O001256,2024-03-14,18:15:38
O001257,2020-12-24,10:49:57
O001270,2024-09-16,19:03:40
O001271,2021-05-08,08:11:41
O001274,2022-01-28,12:11:34
O001280,2020-08-09,09:31:11
O001285,2021-08-08,10:44:36
O001286,2023-10-19,08:29:19
O001289,2024-05-20,18:49:47
O001290,2016-02-14,13:23:08
O001293,2021-07-22,18:00:37
O001299,2021-09-03,12:54:32
O001300,2019-12-29,10:13:06
O001301,2024-01-12,20:52:53
O001305,2023-10-16,12:45:43
O001306,2017-11-01,08:49:51
O001308,2024-01-26,19:36:32
O001318,2019-01-27,17:06:00
O001319,2023-07-03,10:29:01
O001320,2023-03-31,15:14:46
O001323,2020-12-13,17:32:53
O001326,2019-06-16,11:59:05
O001327,2024-04-06,19:33:17
O001332,2018-11-25,19:42:34
O001334,2024-09-10,09:00:46
O001335,2023-12-28,16:08:53
O001337,2023-10-02,09:48:33
O001344,2024-01-15,17:24:51
O001346,2016-01-12,12:24:50
O001350,2023-07-21,11:04:16
O001351,2024-03-29,18:08:00
O001353,2020-10-10,11:50:45
O001358,2020-04-07,18:09:54
O001361,2019-04-22,17:18:03
O001370,2020-03-31,18:08:38
O001371,2016-08-25,15:59:02
O001378,2023-12-28,09:43:02
O001381,2020-11-02,08:40:38
O001382,2019-06-06,12:38:26
O001384,2022-11-06,10:12:31
O001385,2024-07-18,16:52:49
O001387,2021-12-21,20:35:39
O001389,2015-07-06,06:43:22
O001390,2024-08-08,10:04:58
O001392,2019-05-05,19:10:52
O001395,2020-12-03,17:27:31
O001396,2018-11-26,11:11:46
O001400,2020-09-05,15:51:34
O001402,2023-02-12,10:30:15
O001403,2020-01-09,17:21:46
O001404,2023-06-17,12:57:24
O001406,2018-01-16,18:48:35
O001408,2018-06-22,18:47:39
O001409,2021-09-11,15:53:08
O001410,2021-01-17,22:04:07
O001413,2024-03-15,19:51:34
O001418,2018-10-09,12:30:13
O001421,2024-01-28,16:16:16
O001422,2024-08-07,08:11:15
O001428,2021-06-20,06:36:55
O001434,2023-03-30,12:54:45
O001437,2024-06-04,17:43:25
O001442,2020-08-04,09:25:09
O001444,2020-11-07,19:53:47
O001445,2024-05-29,14:12:11
O001447,2022-03-02,17:14:21
O001450,2021-08-14,12:22:22
O001455,2021-05-22,20:08:33
O001458,2024-08-09,14:39:45
O001461,2020-02-25,11:35:20
O001464,2021-11-24,13:53:21
O001466,2024-11-08,12:11:41
O001468,2023-08-04,11:20:30
O001469,2018-04-09,09:54:19
O001470,2021-07-04,16:53:04
O001474,2023-12-09,14:43:59
O001476,2022-09-27,19:08:05
O001478,2023-10-12,10:17:46
O001479,2023-11-03,11:53:16
O001480,2024-10-09,19:58:54
O001481,2021-03-23,13:06:18
O001484,2023-03-22,19:25:12
O001488,2020-01-26,08:29:14
O001490,2024-05-29,16:19:14
O001494,2023-01-22,19:38:57
O001497,2017-10-29,16:29:55
O001498,2019-06-04,08:12:43
O001499,2023-06-06,17:34:55
O001510,2018-10-29,21:46:34
O001516,2022-02-15,17:25:34
O001519,2019-12-18,15:49:20
O001528,2023-12-02,16:27:15
O001531,2022-05-12,16:30:24
O001535,2021-12-26,19:20:33
O001537,2023-05-31,17:23:10
O001543,2024-01-12,19:27:21
O001547,2024-06-14,15:22:09
O001549,2019-08-12,20:59:49
O001551,2018-11-25,15:49:51
O001552,2022-09-24,18:56:35
O001555,2023-03-15,11:14:25
O001562,2024-10-10,18:53:41
O001563,2019-04-26,17:16:03
O001567,2018-08-13,17:51:52
O001569,2022-05-26,20:41:47
O001571,2020-01-08,12:29:52
O001573,2020-01-16,19:48:35
O001578,2020-04-26,12:53:01
O001579,2021-05-24,19:05:26
O001582,2020-11-13,11:17:14
O001584,2020-10-01,11:09:33
O001585,2024-11-03,13:51:18
O001586,2024-07-23,17:16:47
O001590,2024-03-28,10:05:06
O001594,2024-03-24,17:57:13
O001596,2024-07-05,14:06:35
O001598,2021-08-24,15:43:13
O001599,2024-05-02,16:45:38
O001601,2020-02-04,09:27:49
O001603,2021-07-08,08:43:12
O001607,2020-03-30,12:18:41
O001609,2019-02-15,17:46:37
O001612,2024-04-18,18:50:59
O001613,2022-02-06,15:14:09
O001615,2024-08-05,11:20:30
O001616,2021-12-22,14:18:43
O001617,2017-11-19,13:50:05
O001622,2018-12-18,15:03:44
O001638,2024-11-28,09:54:16
O001639,2023-09-09,10:02:38
O001641,2017-01-02,11:42:07
O001643,2020-06-02,17:36:42
O001644,2018-10-19,14:14:30
O001650,2021-05-23,17:08:45
O001656,2021-11-20,20:49:45
O001657,2021-12-27,09:45:23
O001659,2021-11-10,08:42:03
O001663,2020-01-09,19:54:37
O001666,2017-04-25,10:34:10
O001671,2023-07-11,15:19:22
O001673,2024-04-25,20:51:20
O001675,2023-05-09,11:29:16
O001677,2022-05-04,21:50:53
O001684,2016-11-23,10:15:26
O001685,2020-02-09,09:04:58
O001697,2023-04-18,08:57:40
O001701,2024-08-14,10:19:09
O001706,2015-10-14,10:19:50
O001707,2023-10-10,13:44:00
O001711,2024-11-15,09:56:04
O001712,2024-11-10,10:44:39
O001714,2020-04-03,10:13:56
O001716,2024-09-30,16:24:38
O001717,2024-09-18,11:24:00
O001719,2019-06-04,16:14:38
O001722,2021-04-08,11:58:54
O001725,2019-05-10,08:41:37
O001726,2024-07-21,19:52:43
O001727,2020-10-30,14:18:05
O001734,2024-11-09,20:22:08
O001735,2022-08-05,10:50:47
O001737,2018-12-26,17:00:55
O001741,2020-11-04,07:27:49
O001749,2017-02-09,18:46:38
O001750,2018-10-12,06:51:31
O001754,2020-01-07,15:56:56
O001755,2020-06-20,15:15:40
O001758,2024-11-16,09:24:18
O001760,2024-05-20,11:08:09
O001761,2017-08-18,12:25:45
O001763,2024-03-08,13:22:30
O001766,2024-04-09,09:05:03
O001768,2021-09-24,14:57:41
O001769,2022-05-10,10:53:01
O001771,2022-08-30,15:56:56
O001772,2021-03-13,17:36:30
O001773,2024-11-05,14:32:44
O001774,2020-09-23,12:30:09
O001777,2024-10-12,21:45:14
O001786,2016-10-29,18:18:56
O001798,2021-05-23,15:15:19
O001805,2023-02-23,10:21:33
O001809,2024-09-04,12:56:23
O001813,2024-12-01,22:13:22
O001817,2024-05-16,19:31:46
O001818,2019-12-31,16:40:00
O001819,2023-11-02,21:29:28
O001823,2024-12-01,09:17:55
O001824,2019-11-04,09:03:42
O001825,2024-03-03,16:23:17
O001829,2023-11-22,09:34:28
O001830,2017-01-09,10:00:21
O001832,2017-04-27,13:10:32
O001836,2022-07-22,09:51:51
O001839,2020-08-19,07:38:29
O001841,2024-08-01,16:47:28
O001844,2024-08-29,14:12:26
O001848,2024-03-27,14:19:39
O001854,2021-06-18,21:53:59
O001855,2022-09-16,14:32:22
O001857,2019-04-19,09:57:11
O001858,2024-08-05,09:37:28
O001863,2024-03-09,14:55:36
O001864,2022-03-06,12:00:15
O001867,2024-05-20,09:55:02
O001870,2023-03-31,10:41:46
O001872,2022-01-30,09:58:00
O001876,2023-05-30,20:01:10
O001880,2019-06-05,20:35:47
O001881,2016-02-25,13:58:48
O001887,2023-12-26,12:16:01
O001891,2023-10-22,21:16:40
O001895,2021-06-05,13:32:52
O001898,2022-12-11,10:27:01
O001899,2024-06-13,18:48:15
O001903,2022-05-06,09:19:59
O001904,2024-09-01,12:23:01
O001907,2022-08-03,18:40:46
O001909,2024-06-27,09:35:24
O001910,2022-02-06,13:57:25
O001911,2021-07-12,13:17:40
O001913,2022-07-24,20:48:07
O001917,2024-02-03,17:50:43
O001925,2022-07-20,13:47:22
O001926,2021-09-11,10:19:42
O001930,2020-10-24,17:39:23
O001932,2019-01-01,11:30:27
O001933,2022-02-27,17:45:32
O001934,2019-12-02,17:08:19
O001935,2018-04-25,17:52:03
O001940,2024-05-16,19:09:37
O001944,2021-06-13,20:16:16
O001946,2024-12-03,13:02:01
O001949,2021-01-24,15:22:35
O001950,2019-07-16,12:59:11
O001955,2022-04-23,21:05:14
O001960,2021-04-09,16:56:00
O001969,2024-06-08,14:40:08
O001975,2020-12-14,20:53:07
O001976,2018-01-15,09:11:04
O001978,2023-11-16,10:52:09
O001980,2024-06-22,15:23:47
O001981,2016-04-28,10:43:57
O001984,2024-06-25,18:33:08
O001988,2022-12-08,11:34:05
O001992,2023-08-13,12:10:59
O001996,2023-07-21,18:03:49
O001998,2022-05-22,20:34:30
O002002,2024-01-28,17:05:36
O002005,2024-05-08,21:52:53
O002014,2023-12-15,15:45:55
O002016,2018-09-25,13:59:55
O002018,2021-07-17,21:05:24
O002026,2017-04-04,16:17:09
O002033,2024-07-25,14:12:07
O002048,2019-05-21,16:00:56
O002049,2018-02-08,07:49:50
O002051,2024-01-05,13:41:57
O002053,2021-10-29,16:05:00
O002054,2022-07-18,20:37:00
O002055,2024-06-19,08:44:33
O002058,2024-10-06,09:15:14
O002060,2023-01-07,10:27:18
O002064,2020-11-23,16:08:02
O002066,2021-07-29,16:18:55
O002070,2024-11-28,12:44:16
O002071,2018-04-28,19:58:42
O002076,2022-06-11,20:16:46
O002077,2022-09-18,11:00:35
O002078,2021-08-15,21:00:18
O002081,2022-09-02,16:42:13
O002087,2024-10-30,14:36:26
O002089,2023-05-21,16:50:02
O002097,2019-04-09,21:42:30
O002098,2024-05-31,13:24:21
O002103,2024-08-17,10:40:35
O002108,2020-09-22,12:37:35
O002109,2021-08-28,11:18:37
O002110,2021-06-14,20:39:18
O002111,2020-06-22,11:49:24
O002116,2021-04-01,16:14:37
O002117,2023-01-05,17:00:09
O002120,2022-04-15,19:11:17
O002122,2023-07-15,09:29:51
O002133,2024-11-20,12:50:31
O002136,2024-10-19,12:48:23
O002139,2024-04-19,13:04:44
O002141,2019-02-24,13:29:01
O002144,2024-06-10,11:59:15
O002146,2021-06-21,07:48:12
O002147,2023-04-24,12:23:01
O002148,2024-05-31,18:32:07
O002149,2020-09-06,10:17:47
O002150,2024-08-14,19:47:48
O002151,2015-03-26,10:21:30
O002153,2022-06-20,12:32:27
O002154,2018-02-18,20:20:55
O002162,2021-09-27,16:00:05
O002166,2022-10-16,15:07:10
O002170,2021-03-23,12:09:00
O002175,2017-07-04,17:44:10
O002176,2020-12-22,11:19:52
O002177,2023-10-18,17:16:17
O002178,2022-07-10,09:02:14
O002184,2020-09-11,18:15:00
O002187,2023-10-19,21:28:24
O002191,2022-02-26,15:02:52
O002195,2020-05-22,13:55:15
O002210,2022-10-31,09:12:31
O002219,2019-01-13,09:39:10
O002221,2016-12-07,16:14:34
O002223,2024-05-21,12:46:10
O002226,2024-05-21,18:45:27
O002230,2021-06-06,15:50:55
O002231,2021-03-15,14:58:03
O002232,2021-04-25,18:54:34
O002235,2021-08-02,17:04:45
O002240,2021-10-26,18:44:04
O002262,2021-08-30,18:20:23
O002268,2024-02-03,12:17:21
O002269,2019-12-28,15:14:37
O002273,2022-08-06,16:40:35
O002275,2019-11-05,12:24:22
O002276,2024-11-06,09:39:28
O002280,2023-10-20,15:04:16
O002283,2024-08-14,16:29:58
O002288,2024-05-28,17:15:31
O002293,2017-09-10,10:59:00
O002294,2019-08-29,11:09:18
O002297,2024-08-14,11:57:38
O002300,2024-07-24,15:42:03
O002305,2024-04-22,17:20:33
O002306,2022-11-29,09:30:23
O002311,2021-01-24,20:13:52
O002312,2024-10-17,19:09:03
O002318,2024-04-18,10:52:14
O002321,2024-05-12,16:16:11
O002324,2024-08-07,12:06:11
O002325,2024-11-17,08:18:59
O002327,2020-07-12,11:53:46
O002330,2024-06-11,10:48:52
O002332,2018-09-16,20:35:53
O002333,2023-04-29,10:52:43
O002334,2021-03-25,08:06:49
O002338,2024-03-30,12:18:52
O002341,2021-05-26,12:51:39
O002342,2022-11-04,14:43:32
O002347,2024-02-19,13:08:27
O002352,2024-10-18,14:21:10
O002354,2022-02-09,13:17:23
O002366,2024-06-06,12:01:00
O002369,2021-05-13,22:02:59
O002370,2018-09-29,14:35:37
O002371,2024-05-19,12:53:14
O002374,2020-03-10,10:07:31
O002376,2022-09-26,08:02:01
O002389,2023-04-13,19:01:52
O002391,2022-11-26,16:22:58
O002392,2024-08-24,17:04:40
O002399,2019-06-06,13:07:44
O002400,2020-03-01,17:11:11
O002401,2016-10-29,18:13:31
O002404,2020-08-31,12:06:27
O002405,2020-06-23,17:56:51
O002407,2020-08-07,18:12:05
O002408,2019-09-03,13:00:12
O002412,2024-10-09,06:56:26
O002415,2020-02-17,09:10:26
O002416,2024-11-26,19:16:50
O002417,2023-07-31,20:56:23
O002418,2024-03-22,12:29:18
O002422,2023-12-20,11:29:44
O002426,2023-02-01,15:02:03
O002427,2023-03-18,12:01:52
O002429,2024-10-18,13:31:04
O002431,2020-06-10,14:52:45
O002436,2021-02-28,10:40:14
O002438,2022-05-10,14:19:31
O002441,2020-12-10,12:07:46
O002442,2022-12-08,15:34:48
O002446,2024-11-22,12:53:46
O002448,2018-11-13,10:11:45
O002451,2023-06-12,16:09:20
O002458,2022-08-05,11:08:09
O002460,2021-09-08,21:20:47
O002464,2021-07-12,11:10:23
O002466,2022-01-07,18:20:48
O002468,2023-05-29,14:46:46
O002472,2022-07-23,11:48:34
O002477,2019-11-05,09:26:58
O002478,2017-03-15,13:27:05
O002482,2021-03-05,11:09:34
O002490,2023-12-17,14:07:25
O002492,2015-03-05,12:00:39
O002493,2021-09-01,16:35:44
O002495,2020-07-28,08:32:56
O002497,2020-09-24,18:45:00
O002499,2022-09-23,11:39:32
O002501,2023-06-05,10:03:57
O002506,2020-10-20,12:27:45
O002507,2024-09-21,18:57:07
O002508,2021-04-02,17:35:35
O002509,2022-07-27,18:04:10
O002510,2019-10-12,18:27:41
O002511,2024-10-04,09:49:58
O002512,2024-07-31,13:44:16
O002515,2022-09-28,14:27:42
O002516,2024-11-21,16:04:26
O002520,2017-12-01,09:03:32
O002523,2022-09-30,20:29:21
O002524,2024-05-18,14:39:20
O002530,2024-09-02,08:43:25
O002531,2024-06-19,19:14:45
O002532,2024-02-06,18:46:08
O002536,2021-11-06,12:23:03
O002543,2020-07-19,18:08:42
O002549,2024-11-02,06:56:15
O002553,2024-07-17,16:25:12
O002563,2019-10-12,13:55:03
O002566,2019-01-02,20:47:05
O002567,2024-05-01,19:38:37
O002569,2023-12-11,21:25:26
O002571,2024-11-09,09:31:44
O002577,2018-03-30,15:18:43
O002578,2024-05-17,15:39:21
O002582,2021-08-26,22:25:34
