INVOICE_ID,FINAL_AMOUNT,DISCOUNT_AMOUNT,ISSUE_DATE,ISSUE_TIME,ORDER_ID
I000305,0,0,2019-08-24,14:23:00,O044612
I000306,0,0,2005-11-03,07:56:00,O001682
I000307,0,0,2022-09-26,16:42:00,O054960
I000308,0,0,2024-01-18,18:56:30,O065604
I000309,0,0,2024-08-11,13:05:00,O036917
I000310,0,0,2017-09-30,07:44:28,O096623
I000311,0,0,2024-12-03,17:13:00,O025763
I000312,0,0,2023-07-14,16:17:11,O075267
I000313,0,0,2023-01-07,13:42:00,O051175
I000314,0,0,2022-09-21,07:05:14,O019346
I000315,0,0,2021-03-08,13:36:03,O017690
I000316,0,0,2018-09-15,12:40:21,O080680
I000317,0,0,2020-01-08,17:22:00,O022834
I000318,0,0,2024-03-12,12:01:38,O039260
I000319,0,0,2023-12-21,10:00:00,O046642
I000320,0,0,2022-11-03,15:31:00,O084376
I000321,0,0,2015-01-09,07:41:42,O017349
I000322,0,0,2022-11-27,13:46:00,O022764
I000323,0,0,2024-10-10,06:33:00,O014533
I000324,0,0,2017-10-01,07:38:30,O072727
I000325,0,0,2017-03-29,06:57:00,O068156
I000326,0,0,2023-12-13,11:09:00,O033438
I000327,0,0,2023-03-17,09:49:00,O047635
I000328,0,0,2009-10-03,08:32:53,O049250
I000329,0,0,2009-02-04,16:12:24,O008385
I000330,0,0,2024-01-05,10:04:00,O010691
I000331,0,0,2008-08-05,16:00:13,O028534
I000332,0,0,2019-08-23,09:10:47,O099021
I000333,0,0,2024-04-28,09:49:00,O057054
I000334,0,0,2014-01-24,12:32:32,O082857
I000335,0,0,2016-06-07,11:50:37,O024820
I000336,0,0,2024-07-16,16:47:00,O095417
I000337,0,0,2012-12-17,18:28:42,O059200
I000338,0,0,2023-01-04,15:54:00,O079599
I000339,0,0,2021-03-12,08:43:00,O015301
I000340,0,0,2016-01-25,07:54:00,O057427
I000341,0,0,2022-05-31,17:57:36,O015508
I000342,0,0,2011-09-28,08:04:00,O035638
I000343,0,0,2023-05-12,18:16:11,O008288
I000344,0,0,2022-12-11,17:41:00,O004673
I000345,0,0,2023-04-07,10:08:00,O028673
I000346,0,0,2022-09-04,15:42:25,O077808
I000347,0,0,2022-05-10,08:46:06,O029240
I000348,0,0,2017-04-20,17:28:28,O038820
I000349,0,0,2019-05-16,18:45:00,O045484
I000350,0,0,2023-08-11,17:22:00,O084579
I000351,0,0,2021-08-09,07:01:00,O002118
I000352,0,0,2024-09-15,09:36:53,O065932
I000353,0,0,2011-03-21,13:23:49,O086557
I000354,0,0,2021-12-09,11:23:46,O042558
I000355,0,0,2013-05-11,16:10:41,O061362
I000356,0,0,2021-09-16,12:16:38,O098851
I000357,0,0,2024-07-20,17:21:11,O070266
I000358,0,0,2017-11-30,06:41:00,O052114
I000359,0,0,2022-06-20,13:47:13,O019620
I000360,0,0,2011-12-30,08:25:22,O020712
I000361,0,0,2023-06-23,12:35:00,O055131
I000362,0,0,2019-03-17,10:45:00,O051778
I000363,0,0,2022-02-16,09:53:00,O074528
I000364,0,0,2018-06-26,16:43:00,O051314
I000365,0,0,2017-05-15,14:18:00,O012497
I000366,0,0,2023-04-17,15:48:56,O006428
I000367,0,0,2021-06-03,06:53:00,O086783
I000368,0,0,2022-10-29,14:00:31,O092571
I000369,0,0,2023-05-15,18:08:45,O068712
I000370,0,0,2021-10-17,14:47:00,O008462
I000371,0,0,2008-03-20,14:53:59,O037560
I000372,0,0,2023-12-07,11:28:00,O047460
I000373,0,0,2021-09-03,16:39:00,O087359
I000374,0,0,2021-08-31,14:13:00,O064285
I000375,0,0,2018-09-15,08:12:00,O024585
I000376,0,0,2005-10-22,15:18:10,O044258
I000377,0,0,2017-03-26,08:15:56,O001539
I000378,0,0,2015-09-30,17:05:52,O058666
I000379,0,0,2023-08-14,09:15:13,O095404
I000380,0,0,2012-04-19,08:09:00,O094374
I000381,0,0,2015-06-19,16:19:20,O008654
I000382,0,0,2024-11-08,09:22:00,O006008
I000383,0,0,2015-11-20,08:50:00,O023542
I000384,0,0,2011-08-29,14:59:49,O020812
I000385,0,0,2011-03-13,07:35:00,O058975
I000386,0,0,2019-11-29,16:38:00,O019408
I000387,0,0,2016-04-24,07:17:00,O094544
I000388,0,0,2007-07-06,07:03:00,O078319
I000389,0,0,2016-08-20,06:30:00,O095708
I000390,0,0,2018-11-22,09:06:00,O093703
I000391,0,0,2019-03-23,09:29:28,O025268
I000392,0,0,2017-12-06,08:19:00,O078942
I000393,0,0,2015-09-24,15:28:00,O000882
I000394,0,0,2019-06-04,11:19:00,O013939
I000395,0,0,2018-10-06,09:27:00,O096977
I000396,0,0,2020-06-15,11:23:00,O004798
I000397,0,0,2018-04-18,16:38:37,O001082
I000398,0,0,2010-05-01,15:27:00,O051657
I000399,0,0,2023-12-07,13:16:07,O053568
I000400,0,0,2018-11-30,09:45:00,O028560
I000401,0,0,2024-07-24,08:28:00,O066657
I000402,0,0,2023-12-09,09:22:00,O074275
I000403,0,0,2024-07-09,18:39:00,O055896
I000404,0,0,2024-07-22,16:45:07,O057946
I000405,0,0,2024-08-13,18:31:00,O010845
I000406,0,0,2023-03-22,09:23:35,O036568
I000407,0,0,2012-12-30,14:47:38,O028330
I000408,0,0,2019-07-11,13:37:00,O001139
I000409,0,0,2021-10-24,16:45:00,O087823
I000410,0,0,2012-03-01,15:02:21,O039640
I000411,0,0,2022-09-12,17:01:36,O031091
I000412,0,0,2018-09-04,12:04:51,O014927
I000413,0,0,2019-10-30,18:59:12,O034632
I000414,0,0,2007-08-16,17:00:50,O054697
I000415,0,0,2023-07-31,08:02:00,O085009
I000416,0,0,2009-11-17,13:03:00,O066732
I000417,0,0,2003-08-09,12:34:35,O083394
I000418,0,0,2021-06-09,13:58:00,O073183
I000419,0,0,2024-10-04,17:45:00,O051914
I000420,0,0,2015-02-21,18:24:51,O097080
I000421,0,0,2023-04-22,06:40:00,O049894
I000422,0,0,2014-09-08,14:38:50,O088081
I000423,0,0,2020-05-30,18:54:01,O007513
I000424,0,0,2020-04-29,16:35:00,O091485
I000425,0,0,2017-11-20,12:55:52,O075525
I000426,0,0,2020-07-11,16:07:57,O019283
I000427,0,0,2024-12-15,07:08:00,O024700
I000428,0,0,2024-08-25,11:04:29,O056322
I000429,0,0,2021-09-12,17:28:54,O052332
I000430,0,0,2005-03-21,10:57:52,O002481
I000431,0,0,2015-06-17,07:19:00,O018674
I000432,0,0,2022-04-28,16:26:00,O008911
I000433,0,0,2020-06-06,12:15:00,O028646
I000434,0,0,2018-02-21,08:31:00,O024254
I000435,0,0,2023-07-26,14:28:49,O048266
I000436,0,0,2020-09-02,14:08:06,O023545
I000437,0,0,2023-08-18,13:07:11,O035694
I000438,0,0,2019-10-06,16:55:21,O035126
I000439,0,0,2023-07-30,15:34:19,O013637
I000440,0,0,2009-03-16,15:46:00,O058032
I000441,0,0,2009-02-26,09:54:29,O008876
I000442,0,0,2023-05-12,06:40:00,O022528
I000443,0,0,2017-01-26,15:38:00,O075269
I000444,0,0,2024-08-04,18:33:45,O090570
I000445,0,0,2022-09-02,14:39:44,O026747
I000446,0,0,2016-05-28,16:36:17,O013142
I000447,0,0,2019-02-10,16:01:28,O002006
I000448,0,0,2010-10-28,18:58:17,O018703
I000449,0,0,2006-05-12,08:28:00,O089613
I000450,0,0,2011-10-07,17:54:54,O004626
I000451,0,0,2021-11-12,12:16:00,O087302
I000452,0,0,2010-02-22,06:35:00,O027298
I000453,0,0,2010-01-25,11:58:37,O056438
I000454,0,0,2021-09-27,18:42:51,O024546
I000455,0,0,2021-11-21,08:58:00,O031765
I000456,0,0,2024-10-30,10:50:00,O031671
I000457,0,0,2013-02-11,15:23:25,O009911
I000458,0,0,2020-07-29,15:31:48,O067691
I000459,0,0,2023-08-01,17:08:24,O037098
I000460,0,0,2002-08-10,09:50:37,O090872
I000461,0,0,2017-07-23,13:36:56,O060239
I000462,0,0,2008-09-18,14:24:55,O097365
I000463,0,0,2024-07-30,07:32:06,O048492
I000464,0,0,2023-02-23,09:47:00,O082372
I000465,0,0,2007-03-16,11:59:16,O058395
I000466,0,0,2024-09-01,06:34:26,O056632
I000467,0,0,2006-08-15,11:52:00,O032552
I000468,0,0,2017-08-13,13:23:18,O029979
I000469,0,0,2019-04-05,13:17:00,O025240
I000470,0,0,2007-12-17,13:12:16,O003564
I000471,0,0,2021-12-14,18:57:18,O087103
I000472,0,0,2012-05-08,12:04:00,O052179
I000473,0,0,2024-06-28,12:36:09,O097169
I000474,0,0,2021-11-11,16:29:04,O065522
I000475,0,0,2013-09-16,06:55:52,O062959
I000476,0,0,2022-11-03,06:39:00,O037880
I000477,0,0,2020-11-22,11:55:07,O012280
I000478,0,0,2023-06-05,13:47:59,O096311
I000479,0,0,2020-03-20,18:36:49,O058660
I000480,0,0,2024-10-08,12:37:11,O067804
I000481,0,0,2004-08-19,09:39:00,O086881
I000482,0,0,2015-07-21,09:56:52,O037590
I000483,0,0,2016-12-28,14:54:11,O087800
I000484,0,0,2016-11-16,08:22:21,O039333
I000485,0,0,2022-04-11,07:43:24,O034897
I000486,0,0,2016-11-21,17:49:51,O095141
I000487,0,0,2024-12-13,15:52:07,O091704
I000488,0,0,2019-01-03,08:10:28,O092085
I000489,0,0,2020-04-19,17:57:33,O024838
I000490,0,0,2006-03-05,16:22:20,O097518
I000491,0,0,2024-06-16,13:06:00,O058675
I000492,0,0,2017-02-15,09:54:00,O073587
I000493,0,0,2022-08-17,13:15:00,O001426
I000494,0,0,2020-12-11,14:04:15,O081201
I000495,0,0,2019-05-02,11:32:00,O081920
I000496,0,0,2022-12-20,16:14:52,O073935
I000497,0,0,2024-02-25,08:50:59,O057196
I000498,0,0,2024-07-31,15:20:00,O011606
I000499,0,0,2023-11-18,13:03:00,O027612
I000500,0,0,2023-06-26,10:02:00,O003551
I000501,0,0,2023-07-04,10:20:00,O090035
I000502,0,0,2020-10-26,15:45:24,O012705
I000503,0,0,2012-11-30,10:11:00,O011132
I000504,0,0,2016-02-09,07:44:47,O082950
I000505,0,0,2024-10-16,14:30:24,O055399
I000506,0,0,2020-04-04,17:34:52,O053170
I000507,0,0,2019-04-05,08:58:11,O073853
I000508,0,0,2024-02-22,16:42:51,O087105
I000509,0,0,2012-03-05,17:52:39,O064927
I000510,0,0,2024-07-28,07:11:00,O033897
I000511,0,0,2024-05-23,11:40:00,O020964
I000512,0,0,2024-11-15,06:56:00,O073243
I000513,0,0,2024-11-03,07:10:00,O094930
I000514,0,0,2023-06-19,09:12:36,O005143
I000515,0,0,2024-10-08,18:28:00,O091156
I000516,0,0,2016-09-18,07:29:00,O016137
I000517,0,0,2012-01-30,07:58:00,O002685
I000518,0,0,2022-11-10,14:48:00,O050833
I000519,0,0,2020-03-04,08:47:00,O027732
I000520,0,0,2014-02-17,07:01:00,O011489
I000521,0,0,2020-09-06,13:52:57,O025044
I000522,0,0,2018-11-19,16:07:18,O065282
I000523,0,0,2024-11-30,17:46:00,O062447
I000524,0,0,2020-04-18,16:28:00,O072227
I000525,0,0,2018-06-08,16:18:00,O066627
I000526,0,0,2015-11-25,07:04:00,O098320
I000527,0,0,2023-12-31,13:45:34,O002177
I000528,0,0,2014-08-20,18:04:00,O061308
I000529,0,0,2020-03-09,11:25:00,O028049
I000530,0,0,2020-06-24,16:35:05,O042364
I000531,0,0,2024-06-13,13:42:00,O044634
I000532,0,0,2023-12-20,11:00:00,O067411
I000533,0,0,2024-04-08,13:28:00,O099500
I000534,0,0,2023-05-09,13:54:00,O090071
I000535,0,0,2011-03-13,08:52:00,O052965
I000536,0,0,2024-05-12,09:02:42,O000700
I000537,0,0,2017-07-20,17:43:00,O023904
I000538,0,0,2019-04-20,15:17:35,O021204
I000539,0,0,2021-04-17,13:49:00,O063207
I000540,0,0,2024-05-26,09:19:00,O024768
I000541,0,0,2015-02-12,14:56:00,O065131
I000542,0,0,2008-05-27,18:01:14,O094849
I000543,0,0,2018-05-27,10:42:36,O050519
I000544,0,0,2012-11-19,09:17:40,O019217
I000545,0,0,2002-11-28,16:12:09,O100556
I000546,0,0,2019-11-07,07:07:14,O057039
I000547,0,0,2021-07-19,10:26:00,O002320
I000548,0,0,2010-08-20,10:35:00,O054733
I000549,0,0,2016-08-25,16:46:00,O025631
I000550,0,0,2022-07-20,17:49:00,O073034
I000551,0,0,2002-03-14,12:18:00,O032453
I000552,0,0,2024-11-13,11:07:16,O100666
I000553,0,0,2021-01-15,08:17:00,O067141
I000554,0,0,2020-08-10,16:47:39,O013610
