OORDER_ID,ARRIVAL_DATE,ARRIVAL_TIME,TABLE_NUMBER,BRANCH_ID,CUSTOMER_QUANTITY
O000633,2019-10-30,18:36:30,17,B001,5
O000638,2014-07-27,12:08:31,17,B001,3
O000639,2022-09-05,08:52:27,12,B001,2
O000642,2020-03-12,17:51:20,45,B001,6
O000653,2021-01-11,07:55:31,36,B001,9
O000654,2003-05-13,12:20:17,46,B001,9
O000661,2023-01-17,15:28:02,45,B001,6
O000663,2021-11-26,15:39:31,21,B001,4
O000665,2023-01-07,16:36:02,21,B001,1
O000671,2023-09-09,07:31:31,44,B001,8
O000673,2024-08-31,11:19:11,43,B001,9
O000675,2022-06-23,11:20:32,6,B001,1
O000679,2004-03-02,16:40:24,17,B001,1
O000681,2021-04-26,10:41:20,19,B001,2
O000686,2006-09-18,13:18:45,10,B001,2
O000689,2022-06-28,11:48:55,7,B001,4
O000691,2023-09-24,06:50:57,44,B001,8
O000692,2011-01-10,17:26:19,43,B001,8
O000699,2011-05-06,17:50:07,28,B001,9
O000702,2024-10-19,11:19:20,4,B001,2
O000709,2021-04-12,12:11:14,13,B001,2
O000714,2001-08-02,10:17:42,12,B001,3
O000727,2011-12-04,13:16:10,6,B001,1
O000729,2020-02-08,13:40:05,1,B001,4
O000734,2007-01-16,11:51:50,46,B001,10
O000738,2018-08-28,13:02:51,2,B001,3
O000742,2015-07-13,09:34:04,7,B001,1
O000743,2018-08-24,14:51:30,48,B001,8
O000744,2023-05-21,18:50:43,21,B001,3
O000745,2006-07-27,08:10:06,21,B001,4
O000749,2023-07-02,16:56:52,36,B001,8
O000750,2024-10-15,11:10:01,42,B001,6
O000754,2024-10-12,14:08:54,42,B001,9
O000757,2021-08-12,10:35:19,19,B001,3
O000758,2010-01-27,10:32:07,30,B001,8
O000766,2008-06-07,08:23:01,16,B001,2
O000768,2007-03-27,09:24:22,42,B001,7
O000770,2023-07-12,13:36:15,39,B001,7
O000775,2022-01-20,15:38:10,13,B001,4
O000778,2024-03-14,17:15:34,40,B001,9
O000782,2024-09-22,16:10:52,18,B001,2
O000786,2008-02-12,08:16:58,50,B001,8
O000789,2018-10-23,17:37:16,24,B001,1
O000795,2020-03-27,14:49:16,24,B001,2
O000798,2021-09-15,10:56:28,7,B001,3
O000799,2010-02-03,17:44:07,18,B001,4
O000800,2016-11-17,12:38:04,28,B001,9
O000801,2022-09-30,07:50:12,13,B001,5
O000803,2013-10-08,12:51:26,35,B001,8
O000805,2007-08-22,14:43:56,12,B001,2
O000808,2018-01-27,14:28:22,41,B001,8
O000811,2016-09-04,12:37:58,11,B001,2
O000820,2006-08-04,16:45:28,22,B001,3
O000822,2024-08-19,13:52:56,11,B001,1
O000826,2017-09-23,06:50:06,3,B001,1
O000828,2007-07-21,16:11:25,3,B001,1
O000838,2013-06-05,18:19:20,3,B001,5
O000841,2005-05-19,17:47:30,38,B001,8
O000847,2024-03-07,12:40:08,4,B001,4
O000850,2021-09-29,07:39:14,17,B001,2
O000851,2016-10-15,12:49:22,5,B001,5
O000854,2008-05-27,08:54:08,39,B001,8
O000864,2022-01-12,14:19:51,30,B001,10
O000870,2020-10-01,13:33:34,6,B001,1
O000871,2023-10-22,17:17:00,45,B001,8
O000876,2016-06-04,12:12:34,30,B001,6
O000878,2015-03-02,14:28:00,31,B001,9
O000879,2024-07-22,15:36:35,49,B001,9
O000885,2022-11-29,09:57:34,18,B001,4
O000890,2017-02-23,14:25:32,44,B001,9
O000891,2005-03-04,08:12:35,20,B001,1
O000892,2013-09-06,12:18:47,14,B001,4
O000893,2021-09-10,11:59:22,15,B001,4
O000897,2019-05-03,14:42:05,18,B001,2
O000900,2018-09-21,18:05:44,41,B001,8
O000902,2005-07-31,14:25:18,22,B001,2
O000905,2024-08-24,06:44:18,11,B001,5
O000908,2023-02-09,16:39:17,18,B001,5
O000911,2011-11-24,12:49:01,37,B001,6
O000912,2020-05-10,07:30:59,7,B001,1
O000913,2018-05-14,11:49:33,17,B001,5
O000915,2023-07-29,09:40:43,23,B001,2
O000916,2024-07-06,16:06:10,1,B001,2
O000923,2023-04-01,10:08:47,7,B001,2
O000925,2023-06-22,11:54:10,47,B001,8
O000933,2020-11-27,10:40:11,30,B001,8
O000938,2002-05-19,06:55:45,46,B001,6
O000942,2004-10-28,12:12:36,15,B001,2
O000945,2022-03-29,08:17:18,23,B001,5
O000946,2024-04-25,15:21:36,42,B001,10
O000949,2020-01-23,17:05:12,12,B001,4
O000952,2007-08-15,15:51:37,28,B001,9
O000954,2024-06-23,18:00:37,44,B001,10
O000957,2023-07-06,08:08:44,13,B001,5
O000959,2024-05-11,16:46:02,29,B001,7
O000960,2018-11-30,11:04:14,46,B001,8
O000965,2024-12-03,06:42:24,6,B001,5
O000967,2024-01-16,08:27:14,41,B001,8
O000970,2024-11-17,12:06:46,8,B001,2
O000971,2024-08-27,09:04:07,31,B001,7
O000972,2024-10-27,15:31:56,13,B001,2
O000976,2012-04-12,17:03:32,47,B001,6
O000977,2022-05-26,15:40:54,47,B001,6
O000982,2024-04-16,14:16:30,34,B001,8
O000983,2022-04-28,11:34:01,4,B001,1
O000986,2024-01-22,12:04:47,5,B001,4
O000990,2022-05-23,13:48:22,17,B001,4
O000993,2022-06-26,12:23:43,30,B001,8
O000995,2016-07-06,15:45:54,46,B001,8
O000996,2005-12-14,11:55:17,44,B001,8
O001000,2018-09-06,16:32:21,48,B001,9
O001001,2020-10-04,07:38:29,18,B001,3
O001005,2024-09-11,15:18:25,14,B001,5
O001016,2024-01-07,06:53:17,36,B001,7
O001021,2022-07-19,07:37:58,8,B001,5
O001023,2019-07-13,07:39:37,31,B001,8
O001024,2017-12-08,15:07:32,26,B001,7
O001029,2021-11-29,11:11:15,50,B001,7
O001034,2023-01-10,16:03:35,10,B001,1
O001035,2020-03-27,17:51:50,31,B001,7
O001040,2022-10-01,07:26:03,3,B001,3
O001049,2016-05-07,18:06:45,13,B001,4
O001050,2017-08-28,18:41:45,10,B001,2
O001058,2014-03-15,07:04:36,48,B001,7
O001060,2011-01-24,13:59:11,6,B001,5
O001063,2021-06-11,07:55:42,32,B001,7
O001070,2018-02-08,09:43:55,10,B001,2
O001072,2015-06-11,08:48:20,35,B001,6
O001073,2022-10-16,12:18:12,37,B001,10
O001077,2022-12-10,18:14:36,46,B001,7
O001078,2023-01-07,11:33:04,48,B001,10
O001086,2020-10-07,10:48:39,42,B001,9
O001095,2012-05-10,10:12:25,44,B001,6
O001098,2023-08-27,18:36:27,26,B001,8
O001099,2023-12-08,10:26:28,20,B001,3
O001100,2019-02-13,06:52:50,1,B001,5
O001104,2012-12-16,10:55:28,6,B001,4
O001107,2024-07-07,18:53:36,45,B001,9
O001111,2024-09-19,06:38:50,1,B001,2
O001113,2015-02-03,09:00:32,15,B001,2
O001123,2014-08-26,08:52:19,42,B001,7
O001125,2020-05-23,16:32:53,26,B001,10
O001126,2016-10-22,11:12:12,19,B001,2
O001127,2018-04-02,18:09:06,18,B001,1
O001128,2018-02-20,16:13:52,30,B001,9
O001130,2024-12-02,08:21:45,43,B001,10
O001131,2011-12-12,17:19:33,23,B001,3
O001133,2023-11-08,15:47:36,19,B001,5
O001134,2007-07-09,15:16:48,30,B001,6
O001145,2016-05-14,06:52:36,37,B001,8
O001146,2020-12-08,18:53:13,26,B001,8
O001147,2003-05-06,11:15:47,48,B001,10
O001151,2023-02-19,12:32:43,15,B001,4
O001152,2021-01-26,08:46:52,4,B001,4
O001158,2023-09-22,17:38:59,20,B001,2
O001162,2020-10-30,12:49:38,32,B001,8
O001166,2023-04-14,16:53:08,21,B001,2
O001176,2011-06-04,13:02:16,40,B001,9
O001179,2018-11-20,12:12:59,38,B001,9
O001184,2021-01-30,09:06:55,44,B001,10
O001186,2024-06-03,12:02:02,41,B001,8
O001187,2022-08-01,08:44:22,30,B001,8
O001194,2023-03-29,11:24:02,30,B001,7
O001195,2016-01-22,10:07:56,34,B001,7
O001196,2005-08-16,12:59:55,34,B001,10
O001202,2024-06-18,16:06:09,11,B001,5
O001203,2010-09-05,07:30:18,31,B001,7
O001208,2024-01-02,13:33:25,36,B001,10
O001211,2024-12-01,18:39:14,31,B001,10
O001213,2018-04-09,06:57:38,25,B001,3
O001215,2020-07-24,13:16:36,14,B001,2
O001216,2024-12-04,12:20:24,26,B001,8
O001223,2014-05-21,07:11:49,28,B001,9
O001226,2019-01-28,07:45:38,32,B001,10
O001227,2015-02-21,14:45:17,43,B001,8
O001228,2022-05-25,14:42:49,28,B001,10
O001230,2022-08-09,17:14:03,25,B001,3
O001247,2020-07-22,09:26:05,50,B001,6
O001248,2023-02-19,17:45:46,19,B001,1
O001249,2021-08-24,08:27:48,48,B001,8
O001250,2023-11-20,18:54:41,48,B001,10
O001251,2022-07-31,14:41:16,38,B001,7
O001252,2016-11-08,07:10:28,21,B001,5
O001254,2024-10-28,15:08:17,1,B001,3
O001255,2010-01-12,15:48:57,23,B001,4
O001257,2024-10-28,17:31:07,38,B001,7
O001260,2019-05-22,10:04:34,32,B001,8
O001264,2024-11-15,17:54:15,14,B001,3
O001265,2024-07-04,06:45:58,43,B001,8
O001270,2003-03-06,06:40:40,32,B001,6
O001279,2017-05-26,15:00:45,38,B001,6
O001280,2011-11-25,08:47:12,36,B001,10
O001284,2007-06-20,12:00:22,14,B001,4
O001287,2020-02-02,08:57:15,6,B001,2
O001298,2024-11-12,08:44:11,39,B001,7
O001300,2023-07-10,13:04:48,19,B001,2
O001302,2020-11-01,14:46:38,34,B001,10
O001314,2024-08-07,07:12:42,40,B001,10
O001316,2017-04-14,15:14:58,13,B001,5
O001319,2023-08-29,18:34:50,19,B001,2
O001322,2024-06-03,17:20:57,26,B001,9
O001324,2023-11-26,09:24:39,46,B001,9
O001326,2012-10-02,13:48:30,30,B001,7
O001328,2023-10-21,06:50:05,47,B001,10
O001332,2022-02-06,14:37:54,40,B001,7
O001333,2024-07-14,18:53:13,30,B001,10
O001334,2011-06-23,10:08:31,50,B001,8
O001337,2022-10-24,18:48:32,37,B001,8
O001341,2015-12-13,15:54:06,8,B001,1
O001343,2024-11-05,12:21:27,33,B001,7
O001345,2008-02-12,15:54:23,24,B001,4
O001348,2017-12-31,18:43:37,49,B001,8
O001351,2024-04-04,16:14:05,32,B001,7
O001352,2021-08-14,12:27:58,12,B001,2
O001353,2015-05-18,17:11:32,32,B001,6
O001355,2020-01-19,09:44:52,41,B001,6
O001359,2015-11-29,07:12:46,41,B001,10
O001363,2019-04-15,06:39:44,46,B001,6
O001364,2023-01-08,18:48:28,49,B001,7
O001367,2020-04-05,13:44:52,31,B001,8
O001370,2020-07-09,12:53:47,5,B001,5
O001376,2022-08-31,13:56:01,41,B001,7
O001378,2017-06-03,10:37:02,42,B001,10
O001380,2014-05-15,13:22:10,10,B001,1
O001381,2024-04-14,09:37:39,28,B001,8
O001382,2018-09-23,18:48:14,46,B001,9
O001383,2011-07-28,11:14:43,22,B001,1
O001388,2018-05-01,17:57:18,14,B001,5
O001390,2012-01-12,06:37:38,31,B001,6
O001391,2022-05-17,11:56:30,16,B001,3
O001392,2021-11-28,08:21:36,43,B001,6
O001393,2018-04-14,11:40:09,2,B001,2
O001394,2024-10-20,14:02:00,50,B001,7
O001395,2020-05-19,16:17:25,35,B001,6
O001403,2015-02-15,09:01:56,33,B001,9
O001404,2024-12-08,11:10:54,19,B001,3
O001406,2016-09-29,07:53:19,22,B001,1
O001409,2023-10-04,18:15:09,29,B001,10
O001422,2021-10-31,10:37:27,3,B001,2
O001423,2024-05-27,18:01:16,33,B001,8
O001424,2024-07-26,12:07:33,34,B001,8
O001425,2024-01-28,17:09:52,18,B001,3
O001426,2022-08-20,08:20:38,45,B001,6
O001429,2021-12-21,15:01:21,8,B001,1
O001430,2022-07-13,14:03:29,14,B001,3
O001432,2023-09-25,15:12:13,39,B001,6
O001438,2007-10-02,16:30:16,10,B001,3
O001441,2008-06-15,13:20:43,19,B001,1
O001444,2022-12-27,11:51:41,8,B001,2
O001447,2024-06-16,08:29:20,5,B001,1
O001450,2023-03-04,06:52:28,39,B001,6
O001454,2021-08-05,10:09:04,9,B001,4
O001456,1999-05-01,10:32:54,34,B001,8
O001459,2015-03-27,09:22:57,37,B001,8
O001462,2019-10-20,10:44:42,24,B001,4
O001464,2024-07-21,12:42:34,5,B001,5
O001469,2024-05-09,14:07:11,27,B001,8
O001470,2021-02-18,13:21:48,5,B001,2
O001471,2024-06-10,07:37:26,25,B001,4
O001475,2017-04-13,07:28:45,35,B001,10
O001477,2014-07-04,16:39:57,45,B001,8
O001479,2005-07-22,14:56:09,19,B001,1
O001480,2021-05-01,12:33:39,19,B001,4
O001481,2014-10-23,17:13:47,16,B001,4
O001483,2017-11-30,15:03:19,31,B001,9
O001485,2020-09-19,09:27:31,9,B001,2
O001501,2019-10-08,11:18:37,20,B001,2
O001504,2009-10-21,09:00:29,39,B001,10
O001506,2024-02-01,17:22:00,22,B001,3
O001507,2018-07-20,10:28:29,7,B001,1
O001508,2022-07-11,10:50:42,46,B001,6
O001510,2019-07-09,13:06:24,39,B001,8
O001511,2021-08-18,08:55:09,22,B001,3
O001512,2023-06-06,13:32:55,6,B001,1
O001516,2009-03-03,13:29:12,1,B001,1
O001520,2021-05-10,09:22:58,26,B001,9
O001522,2023-04-14,07:26:07,9,B001,3
O001523,2021-04-02,18:58:36,49,B001,10
O001524,2015-05-20,11:06:34,41,B001,9
O001526,2023-12-31,10:12:28,41,B001,6
O001533,2013-06-01,13:52:22,4,B001,2
O001534,2010-08-07,15:03:13,36,B001,7
O001535,2009-04-30,08:08:01,41,B001,8
O001536,2021-03-16,14:02:23,44,B001,10
O001538,2022-05-19,07:48:53,15,B001,5
O001540,2018-01-23,06:55:33,50,B001,6
O001542,2022-03-30,13:55:59,32,B001,6
O001544,2024-04-03,09:21:23,27,B001,9
O001546,2024-05-09,09:28:47,19,B001,5
O001551,2018-05-17,09:18:37,31,B001,10
O001555,2020-08-20,14:47:52,26,B001,6
O001556,2007-10-13,10:33:10,27,B001,9
O001557,2018-08-09,15:45:47,22,B001,4
O001561,2022-02-22,15:27:02,8,B001,3
O001562,2024-09-09,06:32:48,39,B001,9
O001563,2011-10-10,08:27:09,30,B001,10
O001570,2023-08-12,18:57:03,23,B001,1
O001575,2024-09-01,10:20:31,46,B001,9
O001576,2015-12-18,12:37:03,38,B001,7
O001577,2024-01-12,18:23:23,43,B001,9
O001578,2018-10-13,06:50:45,47,B001,7
O001580,2006-01-18,16:08:30,4,B001,1
O001582,2012-09-19,10:44:18,47,B001,7
O001585,2010-10-10,07:21:17,10,B001,3
O001586,2024-12-09,10:46:01,13,B001,2
O001588,2024-07-10,12:28:35,36,B001,10
O001594,2023-04-23,15:27:09,11,B001,1
O001595,2022-01-04,12:36:23,43,B001,7
O001604,2017-09-23,11:33:29,14,B001,1
O001605,2018-05-22,16:11:38,37,B001,10
O001607,2020-11-03,16:04:38,16,B001,2
O001610,2024-12-01,18:07:33,14,B001,2
O001611,2019-08-21,09:13:43,48,B001,9
O001612,2019-10-23,12:54:23,28,B001,9
O001619,2019-11-11,12:32:50,7,B001,4
O001625,2024-06-16,08:28:57,17,B001,2
O001627,2020-04-28,08:39:59,47,B001,8
O001631,2012-09-05,08:50:15,7,B001,4
O001632,2023-06-02,13:12:56,13,B001,4
O001636,2023-05-08,16:54:03,41,B001,10
O001637,2020-08-06,07:14:10,33,B001,9
O001645,2017-07-21,16:58:46,28,B001,8
O001650,2013-02-23,07:19:50,31,B001,6
O001651,2016-11-04,11:59:50,16,B001,5
O001652,2024-06-18,10:44:22,28,B001,9
O001656,2022-12-13,14:11:31,41,B001,7
O001657,2017-06-16,13:46:04,29,B001,9
O001661,2012-12-14,12:22:19,11,B001,1
O001663,2022-12-13,13:31:08,9,B001,2
O001664,2022-11-30,15:26:28,34,B001,9
O001666,2012-02-28,13:31:19,29,B001,7
O001668,2014-12-14,11:07:17,20,B001,3
O001669,2018-07-11,14:11:16,50,B001,7
O001670,2009-10-19,17:14:23,22,B001,4
O001674,2024-11-17,15:58:17,26,B001,10
O001675,2010-07-02,10:21:45,2,B001,5
O001676,2022-10-20,18:25:16,27,B001,6
O001677,2023-03-22,14:37:31,22,B001,5
O001683,2023-12-15,06:55:29,34,B001,7
O001685,2023-06-30,09:27:39,36,B001,10
O001689,2021-12-31,07:08:48,30,B001,10
O001690,2024-12-02,13:08:44,43,B001,7
O001692,2023-07-29,18:21:04,47,B001,9
O001697,2018-08-30,07:14:52,28,B001,10
O001705,2016-10-07,14:00:52,48,B001,8
O001711,2022-09-06,08:13:39,10,B001,1
O001715,2020-10-14,18:40:32,16,B001,1
O001718,2023-05-06,18:23:55,27,B001,7
O001720,2014-09-23,07:24:16,11,B001,5
O001723,2016-04-30,08:00:23,41,B001,8
O001725,2012-08-08,14:45:08,4,B001,1
O001726,2010-07-12,15:48:51,22,B001,3
O001728,2020-03-31,16:37:32,31,B001,10
O001734,2022-08-01,07:32:59,7,B001,3
O001742,2020-06-25,17:11:05,7,B001,5
O001746,2022-01-07,17:04:10,21,B001,4
O001750,2016-03-23,11:04:03,32,B001,8
O001751,2023-06-13,09:04:30,26,B001,9
O001760,2021-03-05,09:25:12,40,B001,8
O001766,2021-07-19,11:34:10,13,B001,3
O001770,2023-01-07,07:00:15,44,B001,6
