ORDER_ID,DISH_ID,QUANTITY
O000125,D088,10
O000126,D167,5
O000127,D139,9
O000128,D113,5
O000129,D098,7
O000130,D033,7
O000131,D125,2
O000132,D032,4
O000133,D199,10
O000134,D195,4
O000135,D162,5
O000136,D186,4
O000137,D132,6
O000138,D183,10
O000139,D108,10
O000140,D055,6
O000141,D100,8
O000142,D081,2
O000143,D105,7
O000144,D037,2
O000145,D113,7
O000146,D181,1
O000147,D025,8
O000148,D147,10
O000149,D046,10
O000150,D172,10
O000151,D050,2
O000152,D061,7
O000153,D110,10
O000154,D076,7
O000155,D131,2
O000156,D075,2
O000157,D032,7
O000158,D070,6
O000159,D046,1
O000160,D011,3
O000161,D089,3
O000162,D087,9
O000163,D127,8
O000164,D115,6
O000165,D084,5
O000166,D183,3
O000167,D197,9
O000168,D116,3
O000169,D030,6
O000170,D039,7
O000171,D012,8
O000172,D148,3
O000173,D059,6
O000174,D174,4
O000175,D198,9
O000176,D061,10
O000177,D068,2
O000178,D186,4
O000179,D009,6
O000180,D185,2
O000181,D020,7
O000182,D140,1
O000183,D168,10
O000184,D105,4
O000185,D065,8
O000186,D131,10
O000187,D194,4
O000188,D165,9
O000189,D174,3
O000190,D005,3
O000191,D017,3
O000192,D179,8
O000193,D088,10
O000194,D059,6
O000195,D128,7
O000196,D148,6
O000197,D167,6
O000198,D081,9
O000199,D132,6
O000200,D149,1
O000201,D145,2
O000202,D199,8
O000203,D129,9
O000204,D192,7
O000205,D020,3
O000206,D118,6
O000207,D024,4
O000208,D074,5
O000209,D007,9
O000210,D033,3
O000211,D189,10
O000212,D024,1
O000213,D053,4
O000214,D007,2
O000215,D198,4
O000216,D059,2
O000217,D137,2
O000218,D140,2
O000219,D065,5
O000220,D036,7
O000221,D037,7
O000222,D036,7
O000223,D061,6
O000224,D139,2
O000225,D071,7
O000226,D054,7
O000227,D002,7
O000228,D029,9
O000229,D133,4
O000230,D091,10
O000231,D163,2
O000232,D195,10
O000233,D098,1
O000234,D005,5
O000235,D129,8
O000236,D004,4
O000237,D014,9
O000238,D164,1
O000239,D021,5
O000240,D195,1
O000241,D006,5
O000242,D193,7
O000243,D120,2
O000244,D090,1
O000245,D098,4
O000246,D053,1
O000247,D179,8
O000248,D156,2
O000249,D161,8
O000250,D134,2
O000251,D158,2
O000252,D193,10
O000253,D182,10
O000254,D157,5
O000255,D144,6
O000256,D180,4
O000257,D071,1
O000258,D041,3
O000259,D072,9
O000260,D071,1
O000261,D199,2
O000262,D085,9
O000263,D032,5
O000264,D120,4
O000265,D149,4
O000266,D110,6
O000267,D024,10
O000268,D180,10
O000269,D138,4
O000270,D075,5
O000271,D168,10
O000272,D015,3
O000273,D188,10
O000274,D061,1
O000275,D063,6
O000276,D015,8
O000277,D016,7
O000278,D023,3
O000279,D139,5
O000280,D034,6
O000281,D059,5
O000282,D040,1
O000283,D105,2
O000284,D001,4
O000285,D030,9
O000286,D086,6
O000287,D082,4
O000288,D139,6
O000289,D191,7
O000290,D116,6
O000291,D083,9
O000292,D148,3
O000293,D098,10
O000294,D142,3
O000295,D033,3
O000296,D094,8
O000297,D012,10
O000298,D131,7
O000299,D064,2
O000300,D133,6
O000301,D184,9
O000302,D179,8
O000303,D126,2
O000304,D011,1
O000305,D073,8
O000306,D179,4
O000307,D136,5
O000308,D111,3
O000309,D020,7
O000310,D056,4
O000311,D011,3
O000312,D107,7
O000313,D166,6
O000314,D001,7
O000315,D131,1
O000316,D198,3
O000317,D050,1
O000318,D019,7
O000319,D063,6
O000320,D140,6
O000321,D127,10
O000322,D155,8
O000323,D035,9
O000324,D113,10
O000325,D109,8
O000326,D040,10
O000327,D093,9
O000328,D173,5
O000329,D140,8
O000330,D089,5
O000331,D126,5
O000332,D077,10
O000333,D153,1
O000334,D154,9
O000335,D190,10
O000336,D018,6
O000337,D193,6
O000338,D134,4
O000339,D106,8
O000340,D080,5
O000341,D092,7
O000342,D095,3
O000343,D005,4
O000344,D129,1
O000345,D111,10
O000346,D100,5
O000347,D134,10
O000348,D095,10
O000349,D129,3
O000350,D008,5
O000351,D019,6
O000352,D171,2
O000353,D136,3
O000354,D063,5
O000355,D156,3
O000356,D082,7
O000357,D070,5
O000358,D068,7
O000359,D196,1
O000360,D169,6
O000361,D004,8
O000362,D193,7
O000363,D091,1
O000364,D090,4
O000365,D094,4
O000366,D012,1
O000367,D051,10
O000368,D002,3
O000369,D133,7
O000370,D125,9
O000371,D041,2
O000372,D157,4
O000373,D136,1
O000374,D166,9
O000375,D125,2
O000376,D098,1
O000377,D116,3
O000378,D012,7
O000379,D165,7
O000380,D085,1
O000381,D037,2
O000382,D025,7
O000383,D024,6
O000384,D129,9
O000385,D168,5
O000386,D154,9
O000387,D151,3
O000388,D158,7
O000389,D127,6
O000390,D098,8
O000391,D066,2
O000392,D030,3
O000393,D147,4
O000394,D140,1
O000395,D171,8
O000396,D089,10
O000397,D088,7
O000398,D056,5
O000399,D191,7
O000400,D140,3
O000401,D034,4
O000402,D058,5
O000403,D059,4
O000404,D115,8
O000405,D194,8
O000406,D041,4
O000407,D140,7
O000408,D042,2
O000409,D073,2
O000410,D107,9
O000411,D033,2
O000412,D020,8
O000413,D015,8
O000414,D046,1
O000415,D072,4
O000416,D017,7
O000417,D196,7
O000418,D099,3
O000419,D193,6
O000420,D191,7
O000421,D097,7
O000422,D133,1
O000423,D055,3
O000424,D153,3
O000425,D034,9
O000426,D131,2
O000427,D173,6
O000428,D005,4
O000429,D178,7
O000430,D167,10
O000431,D063,3
O000432,D148,7
O000433,D111,6
O000434,D141,1
O000435,D091,2
O000436,D066,6
O000437,D010,7
O000438,D032,6
O000439,D167,6
O000440,D077,5
O000441,D189,2
O000442,D041,3
O000443,D007,4
O000444,D173,10
O000445,D025,7
O000446,D041,2
O000447,D072,2
O000448,D022,10
O000449,D130,5
O000450,D095,7
O000451,D083,10
O000452,D173,4
O000453,D056,1
O000454,D012,3
O000455,D016,6
O000456,D108,10
O000457,D181,5
O000458,D002,6
O000459,D155,10
O000460,D041,9
O000461,D009,7
O000462,D178,4
O000463,D102,6
O000464,D001,2
O000465,D095,8
O000466,D038,4
O000467,D009,10
O000468,D057,8
O000469,D042,6
O000470,D005,6
O000471,D131,8
O000472,D179,7
O000473,D083,5
O000474,D071,4
O000475,D015,3
O000476,D002,5
O000477,D027,8
O000478,D149,7
O000479,D069,6
O000480,D091,3
O000481,D107,2
O000482,D023,4
O000483,D090,8
O000484,D198,1
O000485,D184,2
O000486,D165,5
O000487,D050,3
O000488,D160,9
O000489,D098,2
O000490,D155,7
O000491,D194,6
O000492,D105,8
O000493,D071,9
O000494,D140,4
O000495,D084,8
O000496,D126,10
O000497,D151,9
O000498,D038,1
O000499,D093,8
O000500,D174,2
O000501,D160,4
O000502,D078,9
O000503,D069,2
O000504,D113,8
O000505,D065,2
O000506,D092,6
O000507,D089,3
O000508,D061,6
O000509,D087,9
O000510,D169,4
O000511,D184,4
O000512,D126,7
O000513,D034,9
O000514,D117,4
O000515,D120,9
O000516,D193,9
O000517,D010,9
O000518,D120,5
O000519,D194,10
O000520,D012,3
O000521,D142,3
O000522,D191,2
O000523,D105,1
O000524,D189,4
O000525,D042,4
O000526,D167,9
O000527,D053,2
O000528,D074,8
O000529,D184,2
O000530,D199,9
O000531,D177,10
O000532,D173,3
O000533,D105,8
O000534,D166,6
O000535,D171,4
O000536,D069,2
O000537,D075,3
O000538,D117,6
O000539,D078,7
O000540,D180,9
O000541,D192,9
O000542,D199,7
O000543,D001,7
O000544,D066,9
O000545,D114,8
O000546,D185,9
O000547,D183,7
O000548,D146,1
O000549,D055,8
O000550,D003,8
O000551,D055,3
O000552,D170,10
O000553,D175,8
O000554,D147,1
O000555,D053,1
O000556,D199,4
O000557,D191,3
O000558,D110,5
O000559,D033,10
O000560,D178,4
O000561,D136,2
O000562,D094,9
O000563,D120,5
O000564,D071,7
O000565,D151,4
O000566,D087,1
O000567,D040,7
O000568,D056,5
O000569,D015,7
O000570,D183,7
O000571,D074,10
O000572,D142,7
O000573,D134,6
O000574,D070,4
O000575,D166,1
O000576,D168,4
O000577,D145,10
O000578,D004,4
O000579,D011,6
O000580,D183,5
O000581,D125,2
O000582,D130,3
O000583,D189,5
O000584,D101,1
O000585,D011,8
O000586,D195,9
O000587,D145,6
O000588,D093,5
O000589,D099,2
O000590,D189,4
O000591,D178,8
O000592,D153,9
O000593,D023,2
O000594,D063,7
O000595,D071,7
O000596,D186,7
O000597,D070,1
O000598,D194,4
O000599,D194,7
O000600,D191,6
O000601,D057,4
O000602,D180,6
O000603,D185,3
O000604,D057,8
O000605,D034,3
O000606,D007,8
O000607,D130,4
O000608,D134,7
O000609,D156,10
O000610,D126,10
O000611,D194,5
O000612,D112,3
O000613,D038,6
O000614,D190,2
O000615,D022,3
O000616,D022,3
O000617,D093,9
O000618,D058,8
O000619,D139,5
O000620,D154,1
O000621,D189,10
O000622,D120,10
O000623,D047,7
O000624,D073,9
O000625,D151,8
O000626,D105,2
O000627,D130,4
O000628,D023,4
O000629,D130,10
O000630,D183,1
O000631,D072,3
O000632,D108,3
O000633,D190,3
O000634,D089,3
O000635,D031,2
O000636,D168,7
O000637,D084,5
O000638,D033,9
O000639,D012,9
O000640,D183,9
O000641,D153,3
O000642,D058,1
O000643,D053,9
O000644,D094,7
O000645,D035,1
O000646,D105,8
O000647,D062,10
O000648,D009,5
O000649,D056,3
O000650,D033,2
O000651,D184,3
O000652,D031,2
O000653,D142,10
O000654,D055,10
O000655,D072,6
O000656,D161,2
O000657,D157,8
O000658,D191,6
O000659,D008,4
O000660,D167,7
O000661,D024,5
O000662,D088,1
O000663,D112,6
O000664,D184,3
O000665,D162,5
O000666,D025,2
O000667,D118,2
O000668,D129,6
O000669,D102,7
O000670,D020,10
O000671,D175,3
O000672,D054,2
O000673,D185,3
O000674,D163,5
O000675,D065,2
O000676,D017,4
O000677,D155,9
O000678,D190,2
O000679,D177,5
O000680,D042,2
O000681,D059,3
O000682,D031,10
O000683,D172,5
O000684,D091,5
O000685,D182,6
O000686,D128,7
O000687,D056,1
O000688,D149,1
O000689,D068,7
O000690,D133,9
O000691,D134,4
O000692,D162,4
O000693,D128,9
O000694,D057,7
O000695,D138,9
O000696,D041,4
O000697,D025,9
O000698,D070,6
O000699,D065,1
O000700,D171,10
O000701,D108,1
O000702,D112,4
O000703,D111,4
O000704,D055,1
O000705,D013,4
O000706,D017,1
O000707,D063,8
O000708,D069,4
O000709,D058,6
O000710,D069,4
O000711,D133,10
O000712,D144,5
O000713,D080,5
O000714,D056,7
O000715,D100,10
O000716,D103,9
O000717,D074,4
O000718,D007,7
O000719,D102,10
O000720,D184,1
O000721,D035,6
O000722,D136,7
O000723,D031,3
O000724,D180,4
O000725,D155,4
O000726,D089,3
O000727,D129,4
O000728,D152,7
O000729,D193,3
O000730,D172,3
O000731,D097,1
O000732,D188,5
O000733,D020,6
O000734,D044,4
O000735,D032,3
O000736,D022,8
O000737,D080,4
O000738,D149,7
O000739,D040,1
O000740,D021,3
O000741,D036,9
O000742,D044,7
O000743,D006,8
O000744,D195,7
O000745,D092,3
O000746,D134,4
O000747,D082,4
O000748,D062,2
O000749,D194,6
O000750,D106,9
O000751,D170,3
O000752,D017,5
O000753,D197,9
O000754,D108,10
O000755,D071,10
O000756,D012,9
O000757,D179,1
O000758,D139,5
O000759,D074,10
O000760,D027,8
O000761,D004,2
O000762,D080,7
O000763,D102,10
O000764,D125,1
O000765,D105,9
O000766,D174,4
O000767,D126,3
O000768,D152,8
O000769,D170,9
O000770,D170,2
O000771,D168,7
O000772,D058,2
O000773,D160,1
O000774,D094,6
O000775,D095,2
O000776,D114,9
O000777,D092,10
O000778,D087,2
O000779,D116,2
O000780,D022,1
O000781,D100,2
O000782,D155,9
O000783,D061,3
O000784,D009,1
O000785,D035,8
O000786,D050,8
O000787,D104,2
O000788,D131,8
O000789,D107,1
O000790,D009,10
O000791,D003,8
O000792,D127,6
O000793,D149,4
O000794,D050,1
O000795,D065,1
O000796,D183,9
O000797,D102,10
O000798,D005,2
O000799,D162,2
O000800,D138,9
O000801,D036,6
O000802,D112,6
O000803,D141,2
O000804,D141,8
O000805,D160,1
O000806,D182,4
O000807,D031,10
O000808,D129,2
O000809,D090,8
O000810,D082,1
O000811,D088,6
O000812,D092,5
O000813,D027,2
O000814,D189,10
O000815,D072,7
O000816,D161,8
O000817,D050,1
O000818,D040,1
O000819,D102,8
O000820,D013,3
O000821,D112,3
O000822,D141,1
O000823,D156,3
O000824,D157,9
O000825,D022,9
O000826,D185,10
O000827,D136,7
O000828,D184,4
O000829,D013,2
O000830,D165,10
O000831,D163,5
O000832,D131,3
O000833,D181,7
O000834,D029,7
O000835,D147,10
O000836,D056,9
O000837,D112,8
O000838,D164,9
O000839,D141,10
O000840,D174,2
O000841,D171,9
O000842,D055,3
O000843,D110,5
O000844,D093,9
O000845,D120,8
O000846,D045,1
O000847,D136,7
O000848,D004,9
O000849,D151,4
O000850,D009,9
O000851,D102,7
O000852,D193,1
O000853,D187,7
O000854,D089,1
O000855,D113,5
O000856,D055,10
O000857,D045,4
O000858,D147,7
O000859,D169,2
O000860,D005,9
O000861,D063,2
O000862,D095,2
O000863,D167,6
O000864,D173,3
O000865,D006,8
O000866,D021,8
O000867,D107,2
O000868,D149,8
O000869,D192,7
O000870,D126,4
O000871,D126,3
O000872,D001,5
O000873,D031,5
O000874,D136,10
O000875,D057,5
O000876,D094,6
O000877,D107,6
O000878,D175,7
O000879,D187,5
O000880,D100,4
O000881,D044,6
O000882,D018,3
O000883,D165,5
O000884,D130,3
O000885,D018,1
O000886,D011,7
O000887,D002,3
O000888,D114,9
O000889,D151,1
O000890,D002,7
O000891,D193,10
O000892,D168,9
O000893,D012,3
O000894,D072,10
O000895,D054,1
O000896,D149,2
O000897,D147,3
O000898,D083,8
O000899,D145,4
O000900,D178,3
O000901,D037,8
O000902,D179,7
O000903,D191,3
O000904,D185,9
O000905,D024,1
O000906,D120,4
O000907,D196,1
O000908,D102,1
O000909,D095,6
O000910,D074,7
O000911,D057,10
O000912,D099,9
O000913,D146,10
O000914,D138,5
O000915,D057,7
O000916,D024,4
O000917,D179,8
O000918,D023,1
O000919,D166,8
O000920,D064,7
O000921,D089,9
O000922,D065,10
O000923,D101,10
O000924,D004,10
O000925,D001,2
O000926,D196,8
O000927,D031,4
O000928,D089,1
O000929,D031,10
O000930,D031,9
O000931,D103,5
O000932,D135,2
O000933,D152,2
O000934,D117,10
O000935,D029,5
O000936,D033,9
O000937,D013,1
O000938,D178,6
O000939,D178,2
O000940,D172,9
O000941,D153,3
O000942,D184,3
O000943,D009,9
O000944,D114,9
O000945,D138,9
O000946,D195,9
O000947,D074,9
O000948,D067,8
O000949,D038,9
O000950,D030,5
O000951,D181,6
O000952,D156,2
O000953,D100,7
O000954,D014,4
O000955,D083,7
O000956,D075,4
O000957,D177,5
O000958,D069,2
O000959,D103,8
O000960,D164,8
O000961,D034,1
O000962,D125,4
O000963,D009,2
O000964,D110,6
O000965,D053,9
O000966,D081,3
O000967,D187,7
O000968,D165,10
O000969,D141,2
O000970,D100,3
O000971,D098,5
O000972,D064,4
O000973,D192,8
O000974,D166,6
O000975,D039,1
O000976,D146,2
O000977,D180,9
O000978,D099,9
O000979,D131,7
O000980,D077,3
O000981,D180,10
O000982,D074,6
O000983,D105,2
O000984,D066,1
O000985,D032,5
O000986,D153,8
O000987,D017,9
O000988,D031,8
O000989,D062,3
O000990,D101,1
O000991,D154,2
O000992,D144,1
O000993,D038,3
O000994,D115,4
O000995,D022,8
O000996,D109,6
O000997,D139,10
O000998,D154,4
O000999,D088,3
O001000,D093,2
O001001,D071,9
O001002,D041,7
O001003,D163,5
O001004,D131,8
O001005,D147,8
O001006,D015,8
O001007,D131,7
O001008,D172,2
O001009,D160,1
O001010,D103,10
O001011,D058,8
O001012,D136,10
O001013,D014,9
O001014,D089,8
O001015,D070,7
O001016,D191,1
O001017,D129,2
O001018,D177,7
O001019,D117,3
O001020,D145,9
O001021,D004,9
O001022,D097,6
O001023,D178,8
O001024,D056,6
O001025,D112,4
O001026,D146,9
O001027,D011,1
O001028,D001,6
O001029,D090,3
O001030,D058,6
O001031,D102,10
O001032,D075,5
O001033,D053,6
O001034,D189,3
O001035,D133,6
O001036,D169,4
O001037,D138,5
O001038,D011,1
O001039,D128,4
O001040,D033,9
O001041,D047,3
O001042,D144,9
O001043,D113,8
O001044,D133,7
O001045,D070,9
O001046,D010,7
O001047,D132,10
O001048,D017,3
O001049,D138,5
O001050,D055,9
O001051,D080,10
O001052,D185,10
O001053,D091,3
O001054,D022,8
O001055,D142,5
O001056,D152,10
O001057,D181,9
O001058,D091,8
O001059,D147,1
O001060,D087,3
O001061,D173,5
O001062,D042,1
O001063,D117,2
O001064,D160,4
O001065,D015,8
O001066,D113,3
O001067,D058,3
O001068,D055,8
O001069,D182,6
O001070,D136,7
O001071,D075,8
O001072,D195,1
O001073,D025,8
O001074,D092,8
O001075,D143,3
O001076,D149,2
O001077,D180,9
O001078,D104,1
O001079,D073,4
O001080,D028,6
O001081,D064,9
O001082,D081,1
O001083,D112,9
O001084,D077,5
O001085,D102,9
O001086,D110,1
O001087,D084,2
O001088,D181,5
O001089,D098,2
O001090,D110,6
O001091,D142,8
O001092,D183,10
O001093,D019,6
O001094,D085,4
O001095,D151,6
O001096,D104,2
O001097,D189,5
O001098,D045,1
O001099,D099,2
O001100,D144,10
O001101,D058,3
O001102,D189,4
O001103,D006,6
O001104,D071,5
O001105,D115,9
O001106,D053,4
O001107,D164,4
O001108,D098,2
O001109,D133,2
O001110,D185,3
O001111,D070,1
O001112,D051,8
O001113,D137,6
O001114,D062,6
O001115,D132,2
O001116,D035,6
O001117,D101,7
O001118,D149,5
O001119,D002,4
O001120,D103,3
O001121,D189,7
O001122,D185,1
O001123,D062,4
O001124,D132,10
O001125,D076,10
O001126,D108,8
O001127,D004,6
O001128,D199,1
O001129,D129,7
O001130,D046,4
O001131,D181,6
O001132,D094,9
O001133,D069,7
O001134,D075,4
O001135,D023,6
O001136,D110,10
O001137,D047,1
O001138,D115,3
O001139,D014,8
O001140,D038,4
O001141,D183,7
O001142,D141,7
O001143,D044,7
O001144,D039,10
O001145,D016,7
O001146,D159,5
O001147,D019,6
O001148,D046,5
O001149,D140,4
O001150,D125,6
O001151,D125,3
O001152,D107,3
O001153,D137,8
O001154,D042,8
O001155,D011,9
O001156,D137,6
O001157,D188,4
O001158,D177,9
O001159,D029,2
O001160,D108,6
O001161,D139,7
O001162,D148,10
O001163,D062,9
O001164,D110,5
O001165,D110,2
O001166,D145,10
O001167,D134,4
O001168,D031,1
O001169,D189,2
O001170,D151,7
O001171,D134,10
O001172,D168,4
O001173,D059,4
O001174,D145,7
O001175,D148,10
O001176,D105,2
O001177,D062,6
O001178,D032,5
O001179,D147,1
O001180,D094,9
O001181,D197,8
O001182,D137,9
O001183,D040,9
O001184,D166,6
O001185,D189,9
O001186,D099,4
O001187,D071,10
O001188,D174,3
O001189,D125,10
O001190,D143,2
O001191,D170,9
O001192,D025,6
O001193,D153,8
O001194,D100,2
O001195,D062,7
O001196,D117,8
O001197,D101,5
O001198,D016,10
O001199,D054,1
O001200,D014,5
O001201,D009,5
O001202,D194,8
O001203,D080,4
O001204,D045,3
O001205,D111,8
O001206,D040,6
O001207,D044,2
O001208,D005,7
O001209,D059,8
O001210,D093,2
O001211,D106,1
O001212,D149,5
O001213,D098,1
O001214,D005,7
O001215,D187,2
O001216,D113,3
O001217,D149,9
O001218,D077,8
O001219,D058,6
O001220,D161,8
O001221,D190,7
O001222,D085,8
O001223,D131,2
O001224,D155,3
O001225,D105,1
O001226,D126,1
O001227,D133,7
O001228,D175,1
O001229,D133,8
O001230,D070,1
O001231,D179,10
O001232,D050,9
O001233,D162,4
O001234,D087,3
O001235,D033,3
O001236,D081,9
O001237,D143,5
O001238,D067,6
O001239,D146,1
O001240,D138,7
O001241,D155,3
O001242,D196,8
O001243,D146,10
O001244,D188,4
O001245,D091,1
O001246,D013,4
O001247,D100,6
O001248,D077,5
O001249,D128,1
O001250,D183,8
O001251,D110,6
O001252,D085,1
O001253,D177,7
O001254,D094,2
O001255,D042,2
O001256,D035,5
O001257,D102,4
O001258,D091,10
O001259,D100,7
O001260,D172,2
O001261,D044,4
O001262,D091,6
O001263,D159,5
O001264,D023,8
O001265,D047,2
O001266,D098,2
O001267,D091,2
O001268,D082,2
O001269,D186,2
O001270,D082,10
O001271,D054,5
O001272,D022,7
O001273,D001,10
O001274,D069,6
O001275,D028,5
O001276,D199,7
O001277,D138,10
O001278,D046,3
O001279,D074,6
O001280,D027,1
O001281,D023,2
O001282,D002,4
O001283,D012,1
O001284,D033,3
O001285,D095,4
O001286,D045,6
O001287,D066,7
O001288,D073,8
O001289,D107,10
O001290,D142,3
O001291,D018,6
O001292,D062,10
O001293,D010,5
O001294,D073,4
O001295,D126,7
O001296,D161,10
O001297,D145,1
O001298,D088,5
O001299,D108,6
O001300,D094,9
O001301,D050,2
O001302,D102,7
O001303,D063,8
O001304,D038,4
O001305,D142,8
O001306,D056,6
O001307,D116,6
O001308,D081,10
O001309,D008,3
O001310,D177,3
O001311,D006,9
O001312,D191,3
O001313,D144,4
O001314,D016,9
O001315,D108,3
O001316,D106,7
O001317,D051,6
O001318,D083,1
O001319,D190,2
O001320,D023,3
O001321,D104,10
O001322,D120,7
O001323,D110,3
O001324,D097,1
O001325,D133,1
O001326,D151,7
O001327,D033,7
O001328,D038,6
O001329,D167,9
O001330,D135,5
O001331,D022,10
O001332,D083,9
O001333,D002,5
O001334,D093,9
O001335,D113,6
O001336,D036,1
O001337,D194,1
O001338,D152,5
O001339,D135,1
O001340,D113,8
O001341,D069,8
O001342,D179,3
O001343,D116,2
O001344,D127,4
O001345,D197,4
O001346,D010,8
O001347,D028,6
O001348,D107,7
O001349,D013,6
O001350,D081,1
O001351,D088,1
O001352,D098,3
O001353,D161,3
O001354,D198,10
O001355,D054,7
O001356,D145,3
O001357,D143,10
O001358,D174,3
O001359,D066,7
O001360,D053,5
O001361,D058,4
O001362,D027,3
O001363,D111,2
O001364,D069,9
O001365,D050,4
O001366,D006,1
O001367,D178,8
O001368,D019,9
O001369,D088,10
O001370,D136,6
O001371,D172,1
O001372,D023,3
O001373,D017,4
O001374,D007,3
O001375,D054,8
O001376,D032,3
O001377,D033,10
O001378,D069,9
O001379,D011,10
O001380,D170,7
O001381,D185,1
O001382,D098,7
O001383,D058,6
O001384,D197,10
O001385,D029,8
O001386,D146,2
O001387,D002,6
O001388,D068,9
O001389,D092,4
O001390,D001,8
O001391,D166,4
O001392,D015,1
O001393,D135,10
O001394,D169,8
O001395,D098,6
O001396,D021,2
O001397,D015,1
O001398,D030,4
O001399,D166,6
O001400,D101,3
O001401,D017,3
O001402,D199,1
O001403,D139,1
O001404,D041,1
O001405,D136,4
O001406,D075,10
O001407,D120,5
O001408,D147,2
O001409,D127,5
O001410,D163,5
O001411,D114,4
O001412,D128,2
O001413,D018,2
O001414,D134,5
O001415,D034,3
O001416,D147,4
O001417,D194,6
O001418,D102,6
O001419,D050,5
O001420,D158,5
O001421,D126,5
O001422,D163,9
O001423,D001,8
O001424,D126,3
O001425,D083,10
O001426,D070,4
O001427,D010,5
O001428,D009,3
O001429,D085,7
O001430,D143,5
O001431,D061,9
O001432,D179,5
O001433,D084,6
O001434,D141,8
O001435,D080,2
O001436,D154,9
O001437,D009,9
O001438,D133,6
O001439,D108,3
O001440,D022,5
O001441,D158,5
O001442,D193,5
O001443,D084,4
O001444,D058,3
O001445,D088,3
O001446,D115,8
O001447,D168,9
O001448,D051,2
O001449,D151,9
O001450,D172,6
O001451,D190,6
O001452,D072,4
O001453,D027,3
O001454,D175,5
O001455,D168,10
O001456,D015,8
O001457,D050,3
O001458,D007,6
O001459,D017,2
O001460,D190,10
O001461,D131,3
O001462,D059,10
O001463,D059,2
O001464,D112,1
O001465,D172,5
O001466,D165,1
O001467,D107,1
O001468,D012,6
O001469,D153,1
O001470,D137,3
O001471,D015,1
O001472,D075,1
O001473,D155,2
O001474,D156,9
O001475,D106,9
O001476,D182,6
O001477,D012,5
O001478,D116,8
O001479,D038,2
O001480,D084,3
O001481,D094,7
O001482,D194,5
O001483,D112,10
O001484,D153,3
O001485,D028,9
O001486,D120,2
O001487,D140,3
O001488,D141,3
O001489,D115,3
O001490,D088,4
O001491,D013,2
O001492,D064,8
O001493,D014,5
O001494,D097,2
O001495,D157,2
O001496,D149,7
O001497,D172,5
O001498,D143,7
O001499,D102,4
O001500,D195,5
O001501,D155,9
O001502,D127,10
O001503,D098,9
O001504,D058,7
O001505,D007,2
O001506,D163,10
O001507,D117,9
O001508,D129,9
O001509,D047,5
O001510,D086,2
O001511,D027,2
O001512,D035,1
O001513,D050,5
O001514,D076,4
O001515,D091,10
O001516,D077,4
O001517,D125,2
O001518,D155,5
O001519,D020,4
O001520,D014,8
O001521,D112,6
O001522,D120,5
O001523,D144,8
O001524,D084,10
O001525,D186,9
O001526,D147,5
O001527,D166,1
O001528,D160,2
O001529,D172,8
O001530,D128,6
O001531,D130,9
O001532,D006,6
O001533,D145,8
O001534,D017,4
O001535,D138,9
O001536,D181,10
O001537,D036,6
O001538,D160,8
O001539,D061,2
O001540,D035,9
O001541,D088,3
O001542,D164,9
O001543,D081,4
O001544,D197,4
O001545,D181,4
O001546,D126,9
O001547,D142,3
O001548,D116,2
O001549,D192,7
O001550,D044,5
