DORDER_ID,TIME_DELIVERY,DATE_DELIVERY
O000493,11:25:34,2023-12-15
O000497,15:18:49,2014-05-26
O000504,12:23:56,2010-04-30
O000511,16:27:03,2024-08-31
O000515,15:30:12,2022-08-28
O000519,12:04:26,2013-07-09
O000520,06:33:23,2014-06-12
O000521,11:30:59,2016-03-04
O000525,09:23:33,2021-04-10
O000526,08:02:15,2003-01-08
O000528,10:14:28,2024-05-13
O000534,13:49:34,2017-03-13
O000536,06:57:45,2003-05-20
O000538,17:44:01,2021-04-10
O000539,17:23:57,2006-02-27
O000541,16:35:46,2017-05-31
O000542,08:12:07,2012-07-18
O000545,12:55:50,2020-04-07
O000548,14:47:11,2023-07-18
O000553,07:28:59,2020-12-13
O000554,08:29:55,2024-11-11
O000555,13:02:14,2018-03-03
O000558,16:15:17,2024-04-27
O000565,12:58:41,2011-07-29
O000568,06:44:58,2018-06-16
O000572,17:57:56,2013-12-07
O000576,09:14:45,2022-06-19
O000579,15:12:12,2019-08-14
O000583,14:08:39,2023-08-20
O000586,10:33:14,2024-12-13
O000587,10:16:20,2009-06-09
O000589,18:41:05,2024-04-26
O000591,14:01:09,2008-10-23
O000594,08:25:19,2023-02-05
O000595,10:16:29,2024-05-26
O000599,06:51:31,2004-05-12
O000600,12:35:06,2014-02-13
O000602,15:37:10,2014-09-11
O000609,09:39:31,2017-06-21
O000611,17:36:13,2009-09-21
O000612,16:13:53,2016-07-07
O000620,12:21:11,2006-07-07
O000624,12:22:34,2021-05-16
O000627,09:21:02,2014-07-22
O000629,11:54:04,2022-07-26
O000630,17:50:18,2017-04-21
O000631,07:52:09,2024-12-17
O000634,12:31:27,2022-12-15
O000640,11:22:04,2023-04-09
O000647,14:29:36,2020-12-29
O000648,10:24:07,2017-02-02
O000649,15:58:57,2021-06-15
O000651,16:12:52,2005-06-28
O000652,18:24:11,2022-09-18
O000655,17:59:07,2009-02-06
O000658,08:31:25,2019-12-08
O000659,16:48:49,2017-08-01
O000660,16:35:59,2010-10-27
O000662,15:38:20,2017-07-08
O000669,09:24:07,2021-02-15
O000670,11:59:09,2020-11-17
O000672,12:52:47,2024-08-23
O000674,15:42:15,2021-03-09
O000676,15:01:41,2012-10-22
O000677,11:53:12,2021-04-21
O000680,16:08:06,2022-06-21
O000683,12:43:10,2005-07-19
O000684,12:03:28,2019-09-09
O000687,16:46:47,2024-09-01
O000688,12:59:53,2020-05-28
O000690,09:46:21,2013-12-09
O000694,06:42:24,2021-01-07
O000701,13:07:15,2024-04-28
O000712,09:58:57,2019-03-09
O000715,15:27:33,2013-09-24
O000718,10:02:28,2024-11-19
O000719,18:17:48,2024-08-17
O000721,08:42:04,2015-02-06
O000723,08:23:44,2013-11-21
O000724,16:23:55,2024-12-02
O000725,11:58:22,2020-11-20
O000731,11:49:37,2017-10-30
O000735,14:51:52,2012-04-27
O000736,14:05:38,2020-10-24
O000737,10:08:50,2020-02-23
O000739,09:24:29,2014-01-22
O000740,09:46:11,2019-06-29
O000746,09:32:25,2008-06-19
O000748,07:09:31,2008-01-20
O000752,10:36:58,2002-11-23
O000755,18:51:02,2013-01-28
O000756,10:59:23,2023-01-02
O000760,10:42:07,2006-03-19
O000762,08:40:55,2007-10-28
O000765,15:43:47,2020-10-22
O000769,08:41:32,2021-01-25
O000773,07:43:51,2023-09-27
O000776,18:29:14,2019-02-14
O000777,17:07:15,2024-07-15
O000780,11:25:07,2019-03-12
O000781,15:15:01,2022-05-22
O000784,18:54:02,2024-10-03
O000785,08:47:35,2009-08-05
O000788,06:44:16,2024-06-07
O000790,15:55:10,2023-07-05
O000791,10:54:21,2012-12-06
O000793,08:27:04,2013-06-12
O000794,07:50:21,2021-10-23
O000802,06:51:45,2011-05-23
O000807,16:30:32,2023-08-14
O000812,14:49:56,2024-01-17
O000815,07:11:03,2016-05-06
O000817,09:52:30,2022-06-29
O000818,12:41:43,2008-10-15
O000819,15:12:47,2014-10-08
O000823,14:51:14,2017-09-09
O000832,12:39:02,2008-04-29
O000833,14:15:27,2012-06-09
O000834,16:56:51,2003-06-17
O000835,07:57:53,2024-08-14
O000836,11:39:07,2022-08-02
O000837,16:50:38,2022-05-02
O000839,14:24:04,2023-02-05
O000842,07:54:00,2011-02-21
O000845,16:33:47,2021-04-14
O000848,08:51:01,2024-05-09
O000852,11:32:56,2003-10-30
O000853,07:22:18,2024-11-18
O000856,12:12:39,2019-10-17
O000857,13:58:16,2017-10-25
O000859,13:35:57,2023-04-12
O000861,14:25:44,2016-09-06
O000862,10:16:47,2023-09-11
O000867,15:27:59,2022-02-09
O000868,17:20:26,2021-02-25
O000872,11:34:05,2024-07-13
O000875,07:14:43,2021-02-17
O000877,18:09:52,2024-08-11
O000882,13:52:24,2015-09-28
O000883,18:54:58,2024-12-06
O000884,07:50:23,2015-12-05
O000886,09:56:30,2007-04-06
O000888,06:52:23,2015-09-06
O000889,07:27:48,2022-04-17
O000894,17:03:42,2008-02-22
O000896,18:37:40,2016-07-03
O000898,09:05:52,2022-02-21
O000899,10:15:04,2004-09-19
O000901,09:02:00,2024-09-28
O000903,07:31:09,2024-05-20
O000907,08:29:29,2022-09-28
O000909,15:47:16,2024-08-01
O000910,07:31:44,2018-04-26
O000914,14:34:44,2024-09-29
O000917,13:02:56,2019-05-26
O000919,18:50:54,2023-09-20
O000920,09:39:07,2022-02-05
O000921,09:01:10,2019-12-17
O000922,13:03:51,2008-10-05
O000924,11:31:09,2009-08-10
O000926,11:24:07,2018-07-07
O000928,17:01:10,2014-12-25
O000934,15:09:12,2019-05-25
O000935,08:08:29,2024-10-15
O000941,09:03:53,2024-07-29
O000947,09:21:42,2014-04-16
O000948,15:50:20,2024-12-05
O000955,14:25:25,2022-11-03
O000958,10:12:00,2022-09-07
O000962,17:56:34,2010-07-12
O000963,09:41:37,2003-04-05
O000964,12:03:49,2021-10-16
O000966,09:19:53,2005-02-28
O000973,12:39:57,2002-09-01
O000978,09:39:35,2023-04-11
O000979,08:36:35,2022-02-12
O000980,17:25:17,2007-03-08
O000981,14:10:34,2021-11-28
O000985,15:51:28,2024-12-14
O000987,13:05:43,2021-12-20
O000988,14:08:48,2013-03-18
O000989,10:21:22,2016-05-29
O000991,07:36:32,2006-09-02
O000994,07:18:58,2017-10-28
O000997,17:24:29,2017-09-18
O000999,15:59:49,2024-02-05
O001007,06:46:32,2009-08-28
O001008,14:13:11,2023-07-20
O001009,11:47:26,2002-11-14
O001010,09:01:52,2024-08-16
O001013,14:08:49,2021-08-06
O001018,15:39:52,2024-02-27
O001019,12:00:36,2008-10-19
O001020,13:21:24,2024-10-31
O001027,08:07:52,2010-12-18
O001028,18:55:00,2020-07-05
O001031,09:16:29,2020-08-10
O001032,07:55:54,2010-06-20
O001037,12:10:20,2023-05-02
O001043,14:09:39,2009-02-28
O001044,09:03:12,2017-01-17
O001045,08:16:40,2023-04-04
O001047,17:34:15,2017-11-09
O001048,15:27:48,2011-02-20
O001052,17:59:47,2014-09-04
O001054,17:40:14,2021-03-24
O001055,10:34:42,2016-11-10
O001057,12:51:28,2022-05-08
O001066,07:06:38,2020-11-05
O001067,16:30:44,2012-08-29
O001068,13:13:26,2016-11-17
O001069,16:04:41,2024-10-11
O001071,14:12:03,2021-07-10
O001074,06:46:31,2013-05-15
O001075,18:59:24,2022-10-29
O001079,14:56:57,2012-06-04
O001083,13:04:00,2024-01-28
O001088,07:30:09,2017-05-08
O001089,06:35:13,2024-11-21
O001097,10:49:52,2023-03-26
O001105,17:27:58,2018-12-25
O001106,10:19:21,2015-02-27
O001109,11:21:06,2021-01-13
O001110,17:00:18,2024-01-07
O001112,11:21:14,2013-03-04
O001114,13:09:17,2024-04-09
O001115,16:45:30,2004-09-05
O001118,10:01:46,2021-03-30
O001120,07:41:39,2023-05-09
O001122,12:21:15,2024-07-20
O001129,10:06:05,2015-12-08
O001132,14:52:42,2024-11-27
O001136,16:51:16,2024-03-21
O001137,14:12:33,2019-12-17
O001139,13:32:49,2019-07-12
O001141,13:00:45,2003-09-23
O001143,15:06:25,2015-03-30
O001148,07:16:45,2024-07-14
O001150,10:33:30,2023-04-04
O001154,16:48:58,2024-05-04
O001156,12:54:54,2017-03-26
O001159,11:49:01,2021-05-08
O001164,11:49:57,2018-09-02
O001165,12:31:36,2017-09-14
O001169,10:52:38,2020-05-19
O001171,09:57:22,2020-09-27
O001172,13:04:55,2023-08-30
O001177,12:06:57,2014-09-22
O001182,14:18:54,2016-12-01
O001183,15:52:38,2010-11-14
O001190,06:35:37,2015-12-30
O001191,13:15:11,2015-05-10
O001197,11:02:14,2017-07-18
O001204,13:23:38,2022-12-16
O001205,10:56:07,2024-11-19
O001206,10:47:08,2023-12-06
O001212,07:56:32,2021-10-06
O001221,11:12:05,2001-05-13
O001224,07:30:59,2019-11-28
O001232,18:19:31,2018-10-15
O001234,14:48:23,2023-05-05
O001239,12:45:03,2001-01-18
O001240,07:55:12,2024-06-27
O001242,18:39:06,2020-09-15
O001243,12:17:20,2024-10-26
O001245,06:38:14,2019-07-13
O001246,06:35:32,2016-06-03
O001261,13:25:50,2009-04-09
O001262,08:20:53,2006-01-26
O001266,06:32:27,2019-09-01
O001267,15:03:00,2019-07-19
O001269,07:19:40,2021-10-18
O001271,16:21:00,2021-06-04
O001273,14:38:06,2018-12-09
O001274,07:07:13,2022-11-21
O001277,10:38:40,2020-12-28
O001278,14:53:36,2017-10-03
O001282,15:02:16,2017-01-10
O001285,17:21:42,2018-09-27
O001289,14:22:48,2024-09-09
O001292,17:52:39,2021-06-25
O001297,08:23:02,2023-06-07
O001299,07:06:20,2021-04-25
O001301,15:57:37,2020-09-18
O001303,14:51:23,2015-04-10
O001306,10:29:28,2023-10-29
O001307,15:37:27,2014-07-27
O001308,14:19:45,2013-07-11
O001309,18:16:10,2001-12-20
O001312,09:57:08,2000-08-31
O001318,16:41:00,2023-07-19
O001329,14:44:53,2020-10-23
O001331,06:43:06,2016-06-30
O001335,12:58:47,2024-09-28
O001338,18:03:03,2022-03-31
O001339,10:17:01,2008-05-31
O001340,14:12:36,2006-08-20
O001342,12:05:59,2018-02-07
O001344,11:49:29,2014-08-04
O001350,07:28:17,2020-09-17
O001356,13:29:59,2023-04-03
O001361,14:28:51,2024-04-12
O001365,08:49:08,2020-05-01
O001368,10:37:16,2021-01-31
O001369,08:45:02,2016-02-03
O001371,15:08:50,2024-08-02
O001374,11:48:09,2024-06-11
O001375,07:08:44,2015-02-02
O001379,11:11:03,2021-03-26
O001385,07:56:54,2024-11-25
O001386,09:26:14,2024-08-01
O001387,17:50:20,2016-08-13
O001397,15:52:22,2010-12-20
O001398,17:27:13,2024-03-20
O001400,16:16:39,2023-07-11
O001401,08:29:44,2018-08-26
O001402,09:20:50,2020-06-01
O001405,12:33:32,2001-09-30
O001407,14:00:47,2023-06-29
O001408,10:57:03,2019-08-26
O001414,13:44:28,2015-04-23
O001415,15:24:17,2011-02-16
O001417,08:39:30,2022-05-12
O001427,15:51:23,2017-01-04
O001428,08:32:18,2017-12-16
O001431,11:41:50,2020-03-07
O001436,16:10:23,2021-09-15
O001437,09:59:59,2009-09-12
O001439,14:52:17,2024-10-20
O001440,18:17:17,2003-07-27
O001442,07:57:40,2024-06-28
O001448,18:43:04,2014-07-20
O001449,14:45:35,2016-02-14
O001451,14:14:02,2009-04-17
O001452,09:57:12,2013-12-15
O001453,13:18:50,2017-02-01
O001455,08:31:41,2020-12-22
O001461,18:38:19,2010-04-23
O001463,06:47:25,2024-04-02
O001465,11:59:37,2020-08-06
O001466,13:04:35,2024-10-07
O001467,14:49:10,2014-08-31
O001468,16:02:40,2019-07-23
O001473,11:21:49,2022-06-10
O001474,18:57:19,2013-01-21
O001478,15:16:11,2016-01-17
O001484,08:36:41,2018-08-07
O001487,13:38:26,2012-07-27
O001488,17:22:26,2021-09-30
O001496,16:14:37,2023-09-04
O001497,10:59:45,2024-04-24
O001499,09:54:29,2020-03-19
O001500,07:22:00,2022-11-07
O001503,12:49:33,2018-11-17
O001515,09:15:34,2022-07-14
O001517,07:15:24,2022-05-12
O001519,13:04:58,2024-03-31
O001521,14:22:46,2018-08-05
O001525,11:32:42,2015-09-19
O001528,11:13:18,2022-05-05
O001547,14:51:31,2019-08-06
O001548,18:01:19,2023-09-27
O001550,18:25:39,2023-11-07
O001553,10:29:14,2021-05-21
O001554,10:15:44,2020-05-21
O001558,12:57:28,2022-03-19
O001559,11:11:52,2018-07-04
O001560,14:21:29,2024-02-24
O001565,14:41:47,2003-12-29
O001567,17:06:47,2017-10-18
O001569,15:08:06,2003-04-05
O001571,17:59:14,2013-02-12
O001572,15:18:46,2008-12-27
O001573,11:40:02,2024-09-07
O001574,10:34:32,2020-07-16
O001584,09:56:21,2016-07-08
O001589,08:59:17,2023-03-14
O001592,06:53:29,2024-11-21
O001598,11:27:54,2021-09-13
O001601,08:10:09,2023-09-07
O001609,07:06:32,2022-04-23
O001615,07:10:11,2023-09-16
O001621,11:29:07,2023-02-12
O001622,15:11:02,2020-11-30
O001623,06:47:55,2023-07-18
O001626,13:32:38,2010-07-18
O001628,10:21:13,2010-10-30
O001629,14:10:03,2021-03-18
O001630,07:37:24,2024-02-09
O001633,07:33:03,2023-05-25
O001639,17:08:44,2018-11-18
O001641,11:52:48,2022-05-01
O001643,09:46:10,2024-04-11
O001648,15:18:26,2024-09-14
O001649,14:39:01,2024-05-25
O001653,11:34:36,2009-07-08
O001655,06:54:20,2023-10-25
O001658,12:33:48,2021-10-16
O001659,08:51:00,2022-05-23
O001660,16:08:10,2016-06-02
O001662,13:12:00,2022-06-06
O001671,06:56:22,2014-08-25
O001672,06:53:43,2024-09-26
O001673,17:06:00,2023-05-05
O001678,12:29:19,2014-08-10
O001679,18:22:38,2022-12-15
O001680,12:36:52,2024-11-15
O001681,14:09:17,2020-06-07
O001682,12:01:11,2005-11-06
O001687,12:30:40,2014-12-26
O001688,13:39:27,2020-05-11
O001694,09:36:04,2012-11-18
O001695,17:42:37,2015-04-02
O001698,18:48:59,2006-10-26
O001700,12:31:27,2024-11-16
O001701,11:42:22,2024-10-29
O001702,13:15:04,2022-03-31
O001704,07:13:55,2015-09-06
O001707,12:01:05,2016-10-20
O001710,16:22:46,2024-01-09
O001712,08:29:55,2013-11-21
O001713,09:26:56,2024-10-11
O001716,16:09:41,2024-02-14
O001717,16:41:59,2022-02-28
O001719,15:22:30,2021-02-21
O001721,09:02:17,2018-06-11
O001724,07:32:16,2018-03-22
O001730,06:45:38,2021-04-07
O001733,11:56:31,2014-06-25
O001735,09:30:47,2024-10-23
O001737,17:19:51,2014-10-09
O001738,07:16:38,2021-10-23
O001741,15:41:51,2021-05-06
O001745,09:44:45,2018-12-12
O001747,12:24:40,2014-01-22
O001748,16:40:05,2007-10-16
O001749,07:23:32,2013-01-31
O001752,07:47:16,2017-06-29
O001755,18:33:54,2024-03-10
O001756,17:22:59,2004-08-31
O001757,07:06:13,2013-10-20
O001758,13:22:07,2010-08-16
O001759,18:31:54,2024-07-05
O001762,08:34:12,2023-09-28
O001763,12:03:47,2022-07-30
O001764,13:20:17,2000-08-14
O001765,12:09:34,2001-10-14
O001768,06:45:47,2019-07-12
O001769,13:24:11,2024-09-30
O001772,18:15:00,2007-01-12
O001777,17:08:52,2021-02-22
O001785,13:43:19,2024-04-29
O001792,06:55:44,2010-01-05
O001795,07:12:28,2024-10-20
O001797,15:49:41,2019-11-05
O001802,15:00:16,2022-08-20
O001803,16:54:45,2019-06-06
O001810,14:22:53,2023-08-09
O001816,11:14:45,2011-05-01
O001819,11:26:04,2021-04-10
O001822,18:07:00,2016-03-26
O001823,11:09:58,2022-06-27
O001825,17:33:42,2023-12-23
O001826,08:39:03,2018-10-23
O001828,14:15:01,2014-08-31
O001830,07:26:09,2012-10-03
O001831,18:16:36,2017-12-02
O001834,10:31:44,2014-06-02
O001835,06:54:19,2015-10-10
O001841,16:17:39,2022-01-04
O001846,11:14:39,2021-01-04
O001847,10:20:11,2011-09-29
O001852,12:06:43,2022-09-06
O001857,08:01:26,2016-05-02
O001858,18:07:44,2019-06-20
O001861,07:57:16,2020-10-08
O001862,17:16:28,2018-03-01
O001863,10:25:31,2004-04-04
O001865,13:36:01,2024-09-23
O001869,14:50:38,2023-08-12
O001873,08:52:35,2013-11-17
O001878,16:57:54,2018-07-17
O001884,16:12:43,2019-08-12
O001888,10:09:09,2017-02-14
O001889,17:18:06,2024-05-14
O001891,12:23:43,2024-12-04
O001894,09:32:24,2022-06-06
O001895,12:01:52,2021-03-06
O001903,07:15:20,2020-06-28
O001904,07:31:21,2017-08-23
O001906,18:22:54,2012-10-15
O001914,08:06:58,2016-12-28
O001915,11:47:56,2024-02-07
O001916,14:14:47,2017-02-23
O001919,13:40:08,2020-06-11
O001921,13:08:13,2020-09-16
O001925,09:39:24,2021-07-12
O001928,17:38:04,2022-06-21
O001929,17:15:15,2021-02-07
O001932,16:08:12,2023-09-23
O001935,12:36:23,2017-03-09
O001936,07:08:09,2012-07-07
O001940,14:36:57,2019-05-03
O001941,12:51:32,2024-10-24
O001944,12:38:25,2022-02-12
O001945,14:52:08,2013-01-06
O001946,08:04:27,2011-07-08
O001947,13:07:02,2015-05-28
O001949,12:43:41,2014-05-17
O001950,07:56:10,2024-06-02
O001952,12:49:28,2024-06-15
O001953,13:49:54,2008-07-29
O001954,10:29:03,2023-03-29
O001955,11:35:08,2019-02-21
O001960,09:31:23,2010-01-05
O001967,12:57:42,2021-01-05
O001969,08:30:31,2023-04-03
O001976,13:37:03,2014-03-11
O001978,08:40:10,2020-09-26
O001980,12:42:45,2023-05-04
O001982,06:56:49,2018-12-18
O001984,12:41:02,2022-07-31
O001988,11:11:16,2016-09-05
O001989,13:36:20,2023-04-10
O001994,13:00:52,2013-03-13
O001996,13:24:33,2024-11-08
O002003,10:22:49,2019-10-21
O002012,08:33:32,2022-03-03
O002014,09:16:11,2021-10-18
O002018,17:31:19,2023-09-18
O002020,09:47:21,2016-02-08
O002021,16:24:28,2022-07-10
O002026,06:47:25,2024-07-21
O002028,17:15:32,2024-10-03
O002030,08:45:28,2003-07-29
O002033,07:15:50,2010-03-17
O002035,17:50:50,2022-05-10
O002036,08:26:17,2000-06-05
O002038,11:09:16,2023-10-16
O002043,08:08:41,2020-05-06
O002045,09:12:00,2020-11-28
O002046,09:41:50,2023-02-25
O002048,09:05:54,2018-08-17
O002053,16:32:37,2014-08-16
O002055,07:51:20,2014-07-28
O002057,07:20:15,2022-08-31
O002061,13:22:13,2023-05-11
O002066,14:38:30,2017-12-25
O002068,18:17:39,2019-11-21
O002071,15:08:58,2017-11-09
O002077,16:12:31,2022-06-14
O002078,09:52:29,2011-05-31
O002080,09:11:14,2018-01-07
O002083,12:00:18,2017-06-26
O002084,08:07:52,2010-08-04
O002085,12:15:46,2022-09-06
O002087,17:34:08,2023-09-30
O002088,18:18:20,2019-06-01
O002090,06:39:54,2015-01-21
O002092,08:23:32,2020-01-05
O002093,18:56:35,2017-11-13
O002094,14:20:31,2017-09-13
O002098,11:00:33,2024-04-18
O002101,14:01:34,2021-07-15
O002104,16:35:09,2012-09-22
O002105,08:31:43,2015-12-01
O002112,13:40:33,2022-03-03
O002115,08:58:46,2023-09-12
O002116,11:05:00,2018-07-27
O002117,17:22:30,2023-01-12
O002122,07:35:18,2020-06-13
O002123,16:21:16,2022-04-26
O002126,16:16:41,2023-07-09
O002128,10:33:06,2022-04-15
O002131,12:15:16,2009-06-27
O002145,08:31:19,2007-07-01
O002146,08:05:18,2015-09-22
O002147,12:15:45,2007-12-15
O002149,12:28:39,2014-04-12
O002150,17:08:12,2024-09-10
O002151,06:45:53,2017-11-11
O002152,16:28:55,2016-03-12
O002156,15:00:18,2020-10-30
O002157,12:33:30,2016-10-19
O002158,13:28:18,2012-08-16
O002161,17:31:54,2023-09-08
O002164,12:08:42,2019-06-13
O002169,13:01:41,2005-08-14
O002170,10:52:57,2023-12-18
O002174,07:22:47,2014-04-06
O002179,07:59:17,2022-09-24
O002180,17:41:05,2022-08-30
O002181,08:01:58,2023-07-14
O002182,09:29:26,2022-05-17
O002183,10:24:58,2021-06-20
O002186,11:56:52,2022-06-03
O002190,17:55:05,2019-09-30
O002191,06:34:59,2023-09-22
O002192,12:19:40,2024-04-17
O002200,16:08:13,2021-04-06
O002203,14:25:19,2020-03-09
O002210,08:36:22,2023-07-24
O002212,16:01:50,2020-08-10
O002214,08:14:13,2023-10-16
O002217,15:34:03,2023-05-11
O002218,17:35:12,2022-04-27
O002221,13:19:36,2022-07-03
O002222,13:56:46,2013-09-22
O002226,13:08:42,2024-06-28
O002227,18:07:39,2010-09-26
O002231,14:24:30,2024-02-05
O002233,14:53:40,2022-04-18
O002242,15:48:47,2012-10-11
O002245,07:31:14,2011-08-20
O002247,15:59:24,2016-10-03
O002250,08:13:08,2015-01-13
O002251,17:42:44,2024-09-04
O002255,11:14:09,2023-03-10
O002256,16:18:17,2014-04-18
O002262,15:55:50,2014-03-09
O002263,09:56:31,2023-11-22
O002264,12:30:45,2024-08-05
O002265,12:23:50,2024-10-19
O002269,11:12:02,2024-10-23
O002272,15:26:48,2002-04-04
O002274,08:32:22,2024-10-23
O002280,10:15:59,2024-12-02
O002284,10:49:39,2015-12-04
O002287,07:14:12,2017-02-03
O002291,10:20:36,2024-07-14
O002294,17:30:43,2005-12-27
O002295,10:08:52,2019-07-16
O002296,11:26:06,2017-07-06
O002303,16:05:07,2022-04-03
O002304,16:32:22,2024-10-26
O002306,17:07:12,2022-01-30
O002309,08:31:39,2011-12-25
O002311,13:00:45,2018-09-27
O002317,10:52:59,2008-10-19
O002320,11:35:55,2021-07-20
O002322,18:41:52,2023-07-25
O002326,10:34:25,2024-03-10
O002329,14:45:28,2024-07-31
O002335,06:44:16,2024-11-26
O002336,11:57:20,2023-07-26
O002337,14:47:59,2013-01-14
O002338,18:32:31,2021-09-21
O002341,17:20:43,2008-02-12
O002342,16:42:57,2024-07-21
O002343,11:38:32,2024-02-18
O002345,08:25:30,2020-06-27
O002346,08:40:25,2021-03-26
O002350,07:58:45,2012-08-19
O002355,15:26:44,2018-02-16
O002356,14:28:47,2023-10-14
O002359,16:15:55,2011-06-02
O002361,07:12:50,2023-01-21
O002367,17:33:00,2022-11-28
O002374,17:35:10,2005-12-11
O002379,13:55:50,2021-07-13
O002380,07:41:33,2024-12-13
O002381,10:06:46,2020-06-19
O002400,15:44:42,2022-02-10
